# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_dcdm           16:(.)rho_dr             17:gr.fac. D             18:gr.fac. f          
       1.000000000000e+14       7.558503632218e-26       4.634785000235e-09       2.157545946650e+22       1.351070547874e+04       1.351070547874e-10       1.351070547874e+18       2.675958164813e-09       2.751560535470e+44       2.504952464546e+33       1.392430363249e+34       5.477568885622e-08       1.903443976270e+44       4.655004511905e+44       1.112650056054e+32       5.733985407550e+12       5.747865486125e-20       2.000000000000e+14 
       9.930486593843e+13       7.664693049747e-26       4.667526809499e-09       2.127654528184e+22       1.351070547874e+04       1.360528041709e-10       1.341678796300e+18       2.694689871966e-09       2.675846458098e+44       2.453076416168e+33       1.363593973772e+34       5.477568885622e-08       1.851067333040e+44       4.526913791301e+44       1.089607747286e+32       5.694126521895e+12       8.018977888032e-08       1.433565615564e+02 
       9.861456399050e+13       7.772374322403e-26       4.700268618762e-09       2.098177236193e+22       1.351070547874e+04       1.370051738001e-10       1.332352329990e+18       2.713552701070e-09       2.602215788102e+44       2.402274689332e+33       1.335354768457e+34       5.477568885622e-08       1.800131926217e+44       4.402347714477e+44       1.067042630778e+32       5.654544708931e+12       1.603795577606e-07       7.167828077820e+01 
       9.792906056653e+13       7.881568409259e-26       4.733010428026e-09       2.069108333220e+22       1.351070547874e+04       1.379642100167e-10       1.323090695124e+18       2.732547569977e-09       2.530611196824e+44       2.352525035491e+33       1.307700379980e+34       5.477568885622e-08       1.750598097619e+44       4.281209294599e+44       1.044944824165e+32       5.615238042632e+12       2.405693366408e-07       4.778552051880e+01 
       9.724832231036e+13       7.992296563840e-26       4.765752237290e-09       2.040442161296e+22       1.351070547874e+04       1.389299594868e-10       1.313893441037e+18       2.751675402967e-09       2.460976933110e+44       2.303805666848e+33       1.280618697140e+34       5.477568885622e-08       1.702427280332e+44       4.163404213593e+44       1.023304649743e+32       5.576204610358e+12       3.207591155211e-07       3.583914038910e+01 
       9.657231609767e+13       8.104580338266e-26       4.800313035958e-09       2.012173140840e+22       1.351070547874e+04       1.399024692032e-10       1.304760120196e+18       2.770937130788e-09       2.393258779894e+44       2.256095246823e+33       1.254097859548e+34       5.477568885622e-08       1.655581968676e+44       4.048840748719e+44       1.002112630227e+32       5.537442512767e+12       4.009488944013e-07       2.867131231128e+01 
       9.590100903443e+13       8.218441587438e-26       4.833054845221e-09       1.984295769574e+22       1.351070547874e+04       1.408817864877e-10       1.295690288178e+18       2.790333690703e-09       2.327404011992e+44       2.209372880700e+33       1.228126252441e+34       5.477568885622e-08       1.610025689010e+44       3.937429701149e+44       9.813594846000e+31       5.498949863719e+12       4.811386732815e-07       2.389276025940e+01 
       9.523436845525e+13       8.333902473300e-26       4.867615643889e-09       1.956804621447e+22       1.351070547874e+04       1.418679589931e-10       1.286683503653e+18       2.809866026538e-09       2.263361355047e+44       2.163618106481e+33       1.202692501586e+34       5.477568885622e-08       1.565722971328e+44       3.829084326518e+44       9.610361240494e+31       5.460724790187e+12       5.613284521617e-07       2.047950879377e+01 
       9.457236192179e+13       8.450985469147e-26       4.900357453153e-09       1.929694345587e+22       1.351070547874e+04       1.428610347060e-10       1.277739328354e+18       2.829535088724e-09       2.201080945604e+44       2.118810885925e+33       1.177785468307e+34       5.477568885622e-08       1.522639321645e+44       3.723720267389e+44       9.411336479865e+31       5.422765432160e+12       6.415182310419e-07       1.791957019455e+01 
       9.391495722125e+13       8.569713364003e-26       4.934918251820e-09       1.902959665250e+22       1.351070547874e+04       1.438610619490e-10       1.268857327065e+18       2.849341834345e-09       2.140514292293e+44       2.074931595767e+33       1.153394244603e+34       5.477568885622e-08       1.480741195137e+44       3.621255487567e+44       9.216433401487e+31       5.385069942561e+12       7.217080099221e-07       1.592850683960e+01 
