# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       1.748000929544e-10       7.895732861240e-15       4.568127378796e-13       0.000000000000e+00 
    3       1.600223174879e-10       1.298999230405e-14       5.912692412850e-13       0.000000000000e+00 
    4       1.472682058341e-10       1.460112693767e-14       6.154941914784e-13       0.000000000000e+00 
    5       1.375850140516e-10       1.291840061351e-14       5.753214609056e-13       0.000000000000e+00 
    6       1.305361618392e-10       9.484046335440e-15       5.032358419338e-13       0.000000000000e+00 
    7       1.255044784732e-10       5.973507470243e-15       4.210231598326e-13       0.000000000000e+00 
    8       1.220626234439e-10       3.409470519470e-15       3.417679352345e-13       0.000000000000e+00 
    9       1.197622404288e-10       2.012638822643e-15       2.732296716390e-13       0.000000000000e+00 
   10       1.183710568325e-10       1.470988646986e-15       2.195589805983e-13       0.000000000000e+00 
   11       1.176815133155e-10       1.326177040265e-15       1.820436318637e-13       0.000000000000e+00 
   12       1.175119688921e-10       1.247844473528e-15       1.597891443835e-13       0.000000000000e+00 
   13       1.177396972021e-10       1.116347134396e-15       1.504513794506e-13       0.000000000000e+00 
   14       1.182785231643e-10       9.609500868996e-16       1.508778160185e-13       0.000000000000e+00 
   15       1.190882173299e-10       8.518307861719e-16       1.576079629895e-13       0.000000000000e+00 
   16       1.201187216280e-10       8.245118406259e-16       1.674901568976e-13       0.000000000000e+00 
   17       1.213076507261e-10       8.634261474615e-16       1.781679044433e-13       0.000000000000e+00 
   18       1.226206981216e-10       9.246569108394e-16       1.881217318618e-13       0.000000000000e+00 
   19       1.240713416700e-10       9.855962818492e-16       1.966877633524e-13       0.000000000000e+00 
   20       1.256236003673e-10       1.033807980679e-15       2.034850505049e-13       0.000000000000e+00 
   21       1.272760044484e-10       1.086822571958e-15       2.088494230462e-13       0.000000000000e+00 
   22       1.290029617672e-10       1.173309452314e-15       2.134618613002e-13       0.000000000000e+00 
   23       1.307975777044e-10       1.304938677317e-15       2.178870690566e-13       0.000000000000e+00 
   24       1.326381568379e-10       1.485585723607e-15       2.226725701066e-13       0.000000000000e+00 
   25       1.345340150841e-10       1.708702833478e-15       2.281141019510e-13       0.000000000000e+00 
   26       1.364863297586e-10       1.963803103109e-15       2.343556691393e-13       0.000000000000e+00 
   27       1.384876186178e-10       2.248677350802e-15       2.412159392609e-13       0.000000000000e+00 
   28       1.405186316461e-10       2.563114036965e-15       2.483250223667e-13       0.000000000000e+00 
   29       1.425875029842e-10       2.906062152900e-15       2.552285727848e-13       0.000000000000e+00 
   30       1.446989660793e-10       3.275653348416e-15       2.613368670444e-13       0.000000000000e+00 
   31       1.468469588675e-10       3.669719428664e-15       2.660123274510e-13       0.000000000000e+00 
   32       1.490360750918e-10       4.087653593970e-15       2.689664789775e-13       0.000000000000e+00 
   33       1.512653756398e-10       4.529218559388e-15       2.700071548903e-13       0.000000000000e+00 
   34       1.535258003858e-10       4.994922755365e-15       2.689904264835e-13       0.000000000000e+00 
   35       1.558156005497e-10       5.489006799510e-15       2.660093631056e-13       0.000000000000e+00 
   36       1.581283777118e-10       6.017603808860e-15       2.612782593519e-13       0.000000000000e+00 
   37       1.604540380357e-10       6.586682968479e-15       2.550420052050e-13       0.000000000000e+00 
   38       1.627995080145e-10       7.197412710414e-15       2.474170584114e-13       0.000000000000e+00 
   39       1.651737090946e-10       7.849275914077e-15       2.385027365387e-13       0.000000000000e+00 
   40       1.675813706294e-10       8.541268129340e-15       2.284256623785e-13       0.000000000000e+00 
   41       1.700235549196e-10       9.272258466224e-15       2.172815008810e-13       0.000000000000e+00 
   42       1.725006449310e-10       1.004229465277e-14       2.049339133833e-13       0.000000000000e+00 
   43       1.750094840513e-10       1.085166603757e-14       1.911525687281e-13       0.000000000000e+00 
   44       1.775420092482e-10       1.170053914906e-14       1.756645689521e-13       0.000000000000e+00 
   45       1.800889186068e-10       1.258904784989e-14       1.582075719537e-13       0.000000000000e+00 
   46       1.826529990056e-10       1.351761138419e-14       1.387143844868e-13       0.000000000000e+00 
   47       1.852390483616e-10       1.448670026586e-14       1.171790173314e-13       0.000000000000e+00 
   48       1.878499315488e-10       1.549674686669e-14       9.360621711076e-14       0.000000000000e+00 
   49       1.904863846722e-10       1.654814443218e-14       6.801201161428e-14       0.000000000000e+00 
   50       1.931480830820e-10       1.764119285193e-14       4.042625675233e-14       0.000000000000e+00 
   51       1.958376412650e-10       1.877592090045e-14       1.089982729680e-14       0.000000000000e+00 
   52       1.985573603544e-10       1.995221404448e-14      -2.049967938982e-14       0.000000000000e+00 
   53       2.013079262594e-10       2.116986006421e-14      -5.368915004785e-14       0.000000000000e+00 
   54       2.040882734094e-10       2.242854556353e-14      -8.856931600289e-14       0.000000000000e+00 
   55       2.068966798312e-10       2.372791947167e-14      -1.250521909212e-13       0.000000000000e+00 
   56       2.097346830973e-10       2.506781001633e-14      -1.631528310451e-13       0.000000000000e+00 
   57       2.126038985207e-10       2.644805553862e-14      -2.029192500044e-13       0.000000000000e+00 
   58       2.155047866926e-10       2.786844136343e-14      -2.444067832338e-13       0.000000000000e+00 
   59       2.184365652008e-10       2.932869891963e-14      -2.876785423750e-13       0.000000000000e+00 
   60       2.213971203482e-10       3.082850486028e-14      -3.328058696785e-13       0.000000000000e+00 
   61       2.243841709511e-10       3.236744359711e-14      -3.798518294392e-13       0.000000000000e+00 
   62       2.273992647142e-10       3.394488706700e-14      -4.288163241941e-13       0.000000000000e+00 
   63       2.304445263098e-10       3.556008629381e-14      -4.796794095462e-13       0.000000000000e+00 
   64       2.335214368603e-10       3.721220359251e-14      -5.324170878969e-13       0.000000000000e+00 
   65       2.366307853837e-10       3.890031052862e-14      -5.870012246259e-13       0.000000000000e+00 
   66       2.397726202400e-10       4.062338587754e-14      -6.433994642717e-13       0.000000000000e+00 
   67       2.429462005761e-10       4.238031358401e-14      -7.015751467115e-13       0.000000000000e+00 
   68       2.461506423533e-10       4.416993130955e-14      -7.614900579300e-13       0.000000000000e+00 
   69       2.493871169663e-10       4.599119205932e-14      -8.231135169279e-13       0.000000000000e+00 
   70       2.526570129443e-10       4.784303178978e-14      -8.864149879425e-13       0.000000000000e+00 
   71       2.559612505490e-10       4.972432098485e-14      -9.513613976508e-13       0.000000000000e+00 
   72       2.593002509852e-10       5.163386390912e-14      -1.017917123845e-12       0.000000000000e+00 
   73       2.626739056105e-10       5.357039786104e-14      -1.086043984109e-12       0.000000000000e+00 
   74       2.660815451451e-10       5.553259242617e-14      -1.155701224493e-12       0.000000000000e+00 
   75       2.695219088823e-10       5.751904873032e-14      -1.226845508192e-12       0.000000000000e+00 
   76       2.729937319615e-10       5.952825549389e-14      -1.299431928303e-12       0.000000000000e+00 
   77       2.764976988865e-10       6.155844959381e-14      -1.373417284342e-12       0.000000000000e+00 
   78       2.800347919568e-10       6.360772859946e-14      -1.448757385422e-12       0.000000000000e+00 
   79       2.836056869838e-10       6.567409010963e-14      -1.525406088689e-12       0.000000000000e+00 
   80       2.872107351749e-10       6.775543011991e-14      -1.603315309000e-12       0.000000000000e+00 
   81       2.908499450174e-10       6.984954139007e-14      -1.682435028602e-12       0.000000000000e+00 
   82       2.945229641620e-10       7.195411181141e-14      -1.762713306800e-12       0.000000000000e+00 
   83       2.982290613073e-10       7.406672277415e-14      -1.844096289642e-12       0.000000000000e+00 
   84       3.019674768613e-10       7.618501281019e-14      -1.926528470806e-12       0.000000000000e+00 
   85       3.057385814029e-10       7.830720326769e-14      -2.009953502797e-12       0.000000000000e+00 
   86       3.095428769469e-10       8.043165719402e-14      -2.094313538595e-12       0.000000000000e+00 
   87       3.133806334988e-10       8.255672293691e-14      -2.179549006089e-12       0.000000000000e+00 
   88       3.172518771363e-10       8.468073528952e-14      -2.265598621970e-12       0.000000000000e+00 
   89       3.211563780914e-10       8.680201663558e-14      -2.352399405631e-12       0.000000000000e+00 
   90       3.250936388323e-10       8.891887809450e-14      -2.439886693066e-12       0.000000000000e+00 
   91       3.290628821451e-10       9.102962066646e-14      -2.527994150765e-12       0.000000000000e+00 
   92       3.330630392156e-10       9.313253637755e-14      -2.616653789615e-12       0.000000000000e+00 
   93       3.370930625940e-10       9.522585018027e-14      -2.705795809186e-12       0.000000000000e+00 
   94       3.411529448184e-10       9.730753317219e-14      -2.795348073621e-12       0.000000000000e+00 
