# Matter power spectrum P(k) at redshift z=0
# for k=9.25192e-06 to 1.37839 h/Mpc,
# number of wavenumbers equal to 581
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.251922499284e-06       7.353902745350e+01 
       2.024833163903e-05       1.562105834104e+02 
       3.127358644313e-05       2.373001851609e+02 
       4.234929386663e-05       3.176424626538e+02 
       5.349732611581e-05       3.976883603178e+02 
       6.473996292951e-05       4.777585031219e+02 
       7.610003725760e-05       5.581146036487e+02 
       8.760108577777e-05       6.389882510740e+02 
       9.926750570360e-05       7.205951957030e+02 
       1.111247193526e-04       8.031435508171e+02 
       1.231993479573e-04       8.868390654458e+02 
       1.355193962106e-04       9.718888819513e+02 
       1.481144490294e-04       1.058504447727e+03 
       1.610158819882e-04       1.146903960031e+03 
       1.742570868028e-04       1.237314508224e+03 
       1.878737131151e-04       1.329974099667e+03 
       2.019039276216e-04       1.425133571291e+03 
       2.163886912669e-04       1.523058494293e+03 
       2.313720547588e-04       1.624031055857e+03 
       2.469014719960e-04       1.728351956744e+03 
       2.630281300914e-04       1.836342293801e+03 
       2.798072934392e-04       1.948345448509e+03 
       2.972986576461e-04       2.064728911746e+03 
       3.155667070390e-04       2.185886025865e+03 
       3.346810667717e-04       2.312237563193e+03 
       3.547168372186e-04       2.444233057987e+03 
       3.757548942801e-04       2.582351773857e+03 
       3.978821344339e-04       2.727103151815e+03 
       4.211916379034e-04       2.879026585966e+03 
       4.457827173719e-04       3.038690274502e+03 
       4.717608136317e-04       3.206688953144e+03 
       4.992371940321e-04       3.383640174142e+03 
       5.283284055233e-04       3.570178959678e+03 
       5.591554327451e-04       3.766950412603e+03 
       5.918425145618e-04       3.974600166609e+03 
       6.265155814682e-04       4.193762526914e+03 
       6.633002930703e-04       4.425046134574e+03 
       7.023196805436e-04       4.669017589450e+03 
       7.436914336640e-04       4.926183085973e+03 
       7.875249140165e-04       5.196969067151e+03 
       8.339180214103e-04       5.481702661422e+03 
       8.829540831513e-04       5.780593104567e+03 
       9.346989676968e-04       6.093715722430e+03 
       9.891986371337e-04       6.420999627881e+03 
       1.046477340438e-03       6.762220596253e+03 
       1.106536609165e-03       7.116999869654e+03 
       1.169355152193e-03       7.484785397943e+03 
       1.234889665135e-03       7.864901780632e+03 
       1.303076485769e-03       8.256590348967e+03 
       1.373833953003e-03       8.658962615972e+03 
       1.447065274690e-03       9.071053015068e+03 
       1.522661685296e-03       9.491842424273e+03 
       1.600505678112e-03       9.920281784162e+03 
       1.680474123552e-03       1.035531353521e+04 
       1.762441126873e-03       1.079589172343e+04 
       1.846280526645e-03       1.124099687396e+04 
       1.931867981839e-03       1.168965032546e+04 
       2.019082635178e-03       1.214092291892e+04 
       2.107808370742e-03       1.259394271867e+04 
       2.197934704205e-03       1.304789783086e+04 
       2.289357355415e-03       1.350203948958e+04 
       2.381978557266e-03       1.395568076104e+04 
       2.475707153748e-03       1.440819533541e+04 
       2.570458535777e-03       1.485901862516e+04 
       2.666154457249e-03       1.530763763711e+04 
       2.762722767012e-03       1.575359788574e+04 
       2.860097085720e-03       1.619648770362e+04 
       2.958216450452e-03       1.663594458051e+04 
       3.057024944555e-03       1.707164470838e+04 
       3.156471325733e-03       1.750330270369e+04 
       3.256508661706e-03       1.793066798918e+04 
       3.357093979847e-03       1.835351739003e+04 
       3.458187934966e-03       1.877166222849e+04 
       3.559754497680e-03       1.918493033006e+04 
       3.661760664551e-03       1.959318253274e+04 
       3.764176190239e-03       1.999628655438e+04 
       3.866973341296e-03       2.039414092591e+04 
       3.970126670768e-03       2.078665849461e+04 
       4.073612812521e-03       2.117375981204e+04 
       4.177410294019e-03       2.155539009016e+04 
       4.281499366240e-03       2.193149542709e+04 
       4.385861849373e-03       2.230203981822e+04 
       4.490480992975e-03       2.266700796767e+04 
       4.595341349327e-03       2.302636089587e+04 
       4.700428658792e-03       2.338009993107e+04 
       4.805729746047e-03       2.372822449742e+04 
       4.911232426172e-03       2.407072879363e+04 
       5.016925419637e-03       2.440763084691e+04 
       5.122798275316e-03       2.473893996578e+04 
       5.228841300754e-03       2.506466890912e+04 
       5.335045498962e-03       2.538484700404e+04 
       5.441402511094e-03       2.569949163537e+04 
       5.547904564427e-03       2.600862814080e+04 
       5.654544425129e-03       2.631230722643e+04 
       5.761315355319e-03       2.661052760304e+04 
       5.868211074021e-03       2.690333869949e+04 
       5.975225721618e-03       2.719079053116e+04 
       6.082353827469e-03       2.747290865804e+04 
       6.189590280373e-03       2.774972058804e+04 
       6.296930301625e-03       2.802128129046e+04 
       6.404369420394e-03       2.828764525248e+04 
       6.511903451217e-03       2.854883208939e+04 
       6.619528473405e-03       2.880489893341e+04 
       6.727240812176e-03       2.905589125683e+04 
       6.835037021367e-03       2.930184049470e+04 
       6.942913867567e-03       2.954279492017e+04 
       7.050868315550e-03       2.977881647023e+04 
       7.158897514888e-03       3.000995560189e+04 
       7.266998787629e-03       3.023624661653e+04 
       7.375169616965e-03       3.045771601420e+04 
       7.483407636782e-03       3.067444893897e+04 
       7.591710622030e-03       3.088647404291e+04 
       7.700076479829e-03       3.109381212837e+04 
       7.808503241267e-03       3.129654336868e+04 
       7.916989053806e-03       3.149471817490e+04 
       8.025532174265e-03       3.168838007238e+04 
       8.134130962330e-03       3.187754436752e+04 
       8.242783874530e-03       3.206228443880e+04 
       8.351489458669e-03       3.224264166781e+04 
       8.460246348649e-03       3.241865298822e+04 
       8.569053259674e-03       3.259036511755e+04 
       8.677908983794e-03       3.275784068912e+04 
       8.786812385762e-03       3.292112119049e+04 
       8.895762399190e-03       3.308022884524e+04 
       9.004758022964e-03       3.323523115074e+04 
       9.113798317918e-03       3.338615833759e+04 
       9.222882403727e-03       3.353307399704e+04 
       9.332009456025e-03       3.367600010357e+04 
       9.441178703707e-03       3.381499859425e+04 
       9.550389426426e-03       3.395009554576e+04 
       9.659640952249e-03       3.408133921296e+04 
       9.768932655478e-03       3.420878024067e+04 
       9.878263954616e-03       3.433244406841e+04 
       9.987634310463e-03       3.445239551825e+04 
       1.009704322435e-02       3.456865164792e+04 
       1.020649023648e-02       3.468127995944e+04 
       1.031597492437e-02       3.479028557371e+04 
       1.042549690146e-02       3.489573763826e+04 
       1.053505581569e-02       3.499766597341e+04 
       1.064465134831e-02       3.509610853784e+04 
       1.075428321269e-02       3.519111873011e+04 
       1.086395115321e-02       3.528272588966e+04 
       1.097365494426e-02       3.537096668830e+04 
       1.108339438927e-02       3.545588954710e+04 
       1.119316931985e-02       3.553751751238e+04 
       1.130297959496e-02       3.561590452690e+04 
       1.141282510014e-02       3.569106888654e+04 
       1.152270574679e-02       3.576308220368e+04 
       1.163262147152e-02       3.583195312340e+04 
       1.174257223554e-02       3.589772491001e+04 
       1.185255802409e-02       3.596043576411e+04 
       1.196257884592e-02       3.602010837021e+04 
       1.207263473279e-02       3.607681287552e+04 
       1.218272573906e-02       3.613052559130e+04 
       1.229285194126e-02       3.618134574372e+04 
       1.240301343772e-02       3.622928032095e+04 
       1.251321034823e-02       3.627435872755e+04 
       1.262344281373e-02       3.631662637782e+04 
       1.273371099608e-02       3.635610720742e+04 
       1.284401507774e-02       3.639285504887e+04 
       1.295435526159e-02       3.642688561420e+04 
       1.306473177074e-02       3.645824161585e+04 
       1.317514484836e-02       3.648696152370e+04 
       1.328559475751e-02       3.651308096426e+04 
       1.339608178107e-02       3.653662632461e+04 
       1.350660622159e-02       3.655763133389e+04 
       1.361716840126e-02       3.657613300067e+04 
       1.372776866183e-02       3.659215063875e+04 
       1.383840736457e-02       3.660572006800e+04 
       1.394908489030e-02       3.661686980953e+04 
       1.405980163934e-02       3.662563295781e+04 
       1.417055803157e-02       3.663204370212e+04 
       1.428135450647e-02       3.663612452596e+04 
       1.439219152318e-02       3.663793272156e+04 
       1.450306956057e-02       3.663747565078e+04 
       1.461398911735e-02       3.663478716132e+04 
       1.472495071216e-02       3.662990978942e+04 
       1.483595488373e-02       3.662285320159e+04 
       1.494700219103e-02       3.661368854609e+04 
       1.505809321338e-02       3.660237237603e+04 
       1.516922855070e-02       3.658899084671e+04 
       1.528040882364e-02       3.657358349199e+04 
       1.539163467386e-02       3.655611863585e+04 
       1.550290676419e-02       3.653668821383e+04 
       1.561422577892e-02       3.651530407657e+04 
       1.572559242402e-02       3.649195336681e+04 
       1.583700742745e-02       3.646671142249e+04 
       1.594847153944e-02       3.643964263570e+04 
       1.605998553278e-02       3.641067365880e+04 
       1.617155020315e-02       3.637986568800e+04 
       1.628316636948e-02       3.634727544137e+04 
       1.639483487425e-02       3.631295768019e+04 
       1.650655658393e-02       3.627679682619e+04 
       1.661833238930e-02       3.623900506605e+04 
       1.673016320590e-02       3.619954857396e+04 
       1.684204997442e-02       3.615839962162e+04 
       1.695399366116e-02       3.611558659830e+04 
       1.706599525848e-02       3.607120384247e+04 
       1.717805578522e-02       3.602518782550e+04 
       1.729017628730e-02       3.597766650352e+04 
       1.740235783810e-02       3.592862366555e+04 
       1.751460153909e-02       3.587805270686e+04 
       1.762690852029e-02       3.582597948806e+04 
       1.773927994092e-02       3.577248033060e+04 
       1.785171698991e-02       3.571754960456e+04 
       1.796422088654e-02       3.566119603721e+04 
       1.807679288106e-02       3.560343274630e+04 
       1.818943425532e-02       3.554436944246e+04 
       1.830214632347e-02       3.548392254792e+04 
       1.841493043261e-02       3.542218687172e+04 
       1.852778796353e-02       3.535915083570e+04 
       1.864072033145e-02       3.529484921658e+04 
       1.875372898673e-02       3.522934951046e+04 
       1.886681541573e-02       3.516255175575e+04 
       1.897998114154e-02       3.509460231064e+04 
       1.909322772490e-02       3.502552924416e+04 
       1.920655676497e-02       3.495524994595e+04 
       1.931996990030e-02       3.488379448209e+04 
       1.943346880970e-02       3.481130574619e+04 
       1.954705521320e-02       3.473769904177e+04 
       1.966073087305e-02       3.466303936094e+04 
       1.977449759469e-02       3.458733279243e+04 
       1.988835722783e-02       3.451062541600e+04 
       2.000231166750e-02       3.443291081059e+04 
       2.011636285517e-02       3.435411958896e+04 
       2.023051277989e-02       3.427456351155e+04 
       2.034476347947e-02       3.419388693585e+04 
       2.045911704174e-02       3.411245352335e+04 
       2.057357560573e-02       3.402994795625e+04 
       2.068814136304e-02       3.394669202772e+04 
       2.080281655918e-02       3.386249256735e+04 
       2.091760349490e-02       3.377749137109e+04 
       2.103250452768e-02       3.369163721353e+04 
       2.114752207320e-02       3.360501543109e+04 
       2.126265860683e-02       3.351760240367e+04 
       2.137791666526e-02       3.342939754052e+04 
       2.149329884810e-02       3.334045776831e+04 
       2.160880781958e-02       3.325085130263e+04 
       2.172444631028e-02       3.316041389900e+04 
       2.184021711894e-02       3.306940264646e+04 
       2.195612311434e-02       3.297763513838e+04 
       2.207216723719e-02       3.288520910383e+04 
       2.218835250214e-02       3.279218766696e+04 
       2.230468199986e-02       3.269853280754e+04 
       2.242115889913e-02       3.260424470034e+04 
       2.253778644911e-02       3.250935589801e+04 
       2.265456798155e-02       3.241396280455e+04 
       2.277150691321e-02       3.231794272935e+04 
       2.288860674830e-02       3.222137517377e+04 
       2.300587108099e-02       3.212430685669e+04 
       2.312330359808e-02       3.202669977890e+04 
       2.324090808169e-02       3.192866391731e+04 
       2.335868841208e-02       3.182998811831e+04 
       2.347664857062e-02       3.173099059982e+04 
       2.359479264278e-02       3.163141619155e+04 
       2.371312482129e-02       3.153155686520e+04 
       2.383164940942e-02       3.143121024322e+04 
       2.395037082433e-02       3.133047025613e+04 
       2.406929360066e-02       3.122925517235e+04 
       2.418842239411e-02       3.112768528107e+04 
       2.430776198526e-02       3.102574861533e+04 
       2.442731728351e-02       3.092353311553e+04 
       2.454709333121e-02       3.082091194340e+04 
       2.466709530783e-02       3.071789043451e+04 
       2.478732853450e-02       3.061467151501e+04 
       2.490779847850e-02       3.051100157389e+04 
       2.502851075814e-02       3.040714702503e+04 
       2.514947114769e-02       3.030305803733e+04 
       2.527068558261e-02       3.019852924209e+04 
       2.539216016490e-02       3.009379705739e+04 
       2.551390116879e-02       2.998889329723e+04 
       2.563591504657e-02       2.988367622157e+04 
       2.575820843470e-02       2.977816577442e+04 
       2.588078816022e-02       2.967262212793e+04 
       2.600366124739e-02       2.956671909921e+04 
       2.612683492459e-02       2.946071504187e+04 
       2.625031663166e-02       2.935444714951e+04 
       2.637411402735e-02       2.924808347154e+04 
       2.649823499734e-02       2.914150719486e+04 
       2.662268766242e-02       2.903478945093e+04 
       2.674748038717e-02       2.892789382433e+04 
       2.687262178901e-02       2.882089974401e+04 
       2.699812074758e-02       2.871363155231e+04 
       2.712398641475e-02       2.860641645735e+04 
       2.725022822487e-02       2.849903885681e+04 
       2.737685590571e-02       2.839146136587e+04 
       2.750387948982e-02       2.828395305686e+04 
       2.763130932642e-02       2.817613682079e+04 
       2.775915609401e-02       2.806836103772e+04 
       2.788743081340e-02       2.796041578288e+04 
       2.801614486160e-02       2.785254228065e+04 
       2.814530998627e-02       2.774451670284e+04 
       2.827493832095e-02       2.763649678311e+04 
       2.840504240111e-02       2.752834818755e+04 
       2.853563518097e-02       2.742019672122e+04 
       2.866673005127e-02       2.731198108739e+04 
       2.879834085794e-02       2.720370247574e+04 
       2.893048192179e-02       2.709539313328e+04 
       2.906316805929e-02       2.698707657070e+04 
       2.919641460444e-02       2.687879921963e+04 
       2.933023743190e-02       2.677046312787e+04 
       2.946465298141e-02       2.666206799158e+04 
       2.959967828360e-02       2.655365701563e+04 
       2.973533098722e-02       2.644528685602e+04 
       2.987162938806e-02       2.633688305974e+04 
       3.000859245949e-02       2.622849174929e+04 
       3.014623988483e-02       2.612010793829e+04 
       3.028459209167e-02       2.601176375604e+04 
       3.042367028826e-02       2.590343420371e+04 
       3.056349650219e-02       2.579500587157e+04 
       3.070409362145e-02       2.568673359919e+04 
       3.084548543800e-02       2.557835604307e+04 
       3.098769669429e-02       2.547004307639e+04 
       3.113075313264e-02       2.536171631773e+04 
       3.127468154789e-02       2.525342159737e+04 
       3.141950984361e-02       2.514511106758e+04 
       3.156526709196e-02       2.503686050805e+04 
       3.171198359774e-02       2.492860863865e+04 
       3.185969096680e-02       2.482037416196e+04 
       3.200842217919e-02       2.471215576412e+04 
       3.215821166761e-02       2.460389919716e+04 
       3.230909540135e-02       2.449574199297e+04 
       3.246111097645e-02       2.438751104104e+04 
       3.261429771245e-02       2.427937485836e+04 
       3.276869675645e-02       2.417118194240e+04 
       3.292435119497e-02       2.406302868384e+04 
       3.308130617456e-02       2.395481100686e+04 
       3.323960903176e-02       2.384657444728e+04 
       3.339930943343e-02       2.373843279154e+04 
       3.356045952835e-02       2.363019244858e+04 
