# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.781910550017e-10       7.909838888483e-15       4.519749114800e-13       0.000000000000e+00       8.027034644314e-09       6.295306702606e-10      -2.574681920882e-12 
    3       1.625525019489e-10       1.296480824701e-14       5.869027613107e-13       0.000000000000e+00       4.956754646768e-09       4.410357284217e-10      -2.239314410395e-12 
    4       1.492254842273e-10       1.450337925892e-14       6.112363667153e-13       0.000000000000e+00       3.453073376409e-09       3.322647129106e-10      -1.746484308218e-12 
    5       1.391658043705e-10       1.276073670602e-14       5.709893725281e-13       0.000000000000e+00       2.582027317420e-09       2.618339640126e-10      -1.253025574230e-12 
    6       1.318207985098e-10       9.310162625089e-15       4.989523391261e-13       0.000000000000e+00       2.020109498175e-09       2.126316431133e-10      -8.130275603171e-13 
    7       1.265790707812e-10       5.828428004997e-15       4.170196752393e-13       0.000000000000e+00       1.631824426759e-09       1.765495555917e-10      -4.524128820704e-13 
    8       1.229980373036e-10       3.317043155676e-15       3.382095959021e-13       0.000000000000e+00       1.349881207122e-09       1.492107032843e-10      -1.808914076178e-13 
    9       1.206123710267e-10       1.970342870921e-15       2.702810946361e-13       0.000000000000e+00       1.137352038507e-09       1.279337349561e-10       3.007574841544e-15 
   10       1.191254815595e-10       1.459583160691e-15       2.173302897221e-13       0.000000000000e+00       9.725220777063e-10       1.109643767967e-10       1.088362586091e-13 
   11       1.183726623183e-10       1.324464045502e-15       1.805334503596e-13       0.000000000000e+00       8.259080645998e-10       9.758285079084e-11       1.508755480360e-13 
   12       1.181304742644e-10       1.243018440433e-15       1.589509094939e-13       0.000000000000e+00       7.222662169993e-10       8.608712331673e-11       1.471263924792e-13 
   13       1.183490160264e-10       1.105998404190e-15       1.501733241660e-13       0.000000000000e+00       6.370893226672e-10       7.677644223536e-11       1.146547911021e-13 
   14       1.188821019910e-10       9.487707660385e-16       1.509271022591e-13       0.000000000000e+00       5.661542805818e-10       6.880952175502e-11       6.798784838262e-14 
   15       1.196571847963e-10       8.417842078724e-16       1.577654363121e-13       0.000000000000e+00       5.063882185123e-10       6.199441726203e-11       1.967231366313e-14 
   16       1.206673723937e-10       8.174078134770e-16       1.675874932813e-13       0.000000000000e+00       4.555280929119e-10       5.617360100701e-11      -2.155468127560e-14 
   17       1.218228917034e-10       8.571237944980e-16       1.781035538887e-13       0.000000000000e+00       4.118631021956e-10       5.118259011333e-11      -5.072160340519e-14 
   18       1.231438021727e-10       9.165265348694e-16       1.877941238587e-13       0.000000000000e+00       3.739381472074e-10       4.682054311944e-11      -6.617691877226e-14 
   19       1.246242761196e-10       9.746431186503e-16       1.960470137419e-13       0.000000000000e+00       3.411548393054e-10       4.298962304252e-11      -6.890795872626e-14 
   20       1.261763633899e-10       1.021384224212e-15       2.025661935518e-13       0.000000000000e+00       3.122639659463e-10       3.953768760468e-11      -6.187520769524e-14 
   21       1.278187739745e-10       1.075000934595e-15       2.077250430832e-13       0.000000000000e+00       2.868171617982e-10       3.645478976313e-11      -4.849059354691e-14 
   22       1.295662572724e-10       1.164068828818e-15       2.122197576888e-13       0.000000000000e+00       2.642089440857e-10       3.372493153341e-11      -3.298198044663e-14 
   23       1.313968371279e-10       1.298988472192e-15       2.165946380024e-13       0.000000000000e+00       2.441319869109e-10       3.129697594303e-11      -1.833647560512e-14 
   24       1.332581721191e-10       1.481979654829e-15       2.213657953270e-13       0.000000000000e+00       2.261262195598e-10       2.908496890469e-11      -7.192437238369e-15 
   25       1.351670462026e-10       1.706207642981e-15       2.268371087040e-13       0.000000000000e+00       2.099817773439e-10       2.709219425427e-11      -5.856921488424e-16 
   26       1.371426620104e-10       1.961410333861e-15       2.331589029307e-13       0.000000000000e+00       1.954081935961e-10       2.532411521345e-11       1.230230297153e-15 
   27       1.391751085045e-10       2.245741062909e-15       2.400818739872e-13       0.000000000000e+00       1.822327670486e-10       2.373744475416e-11      -1.004623865074e-15 
   28       1.412365166392e-10       2.559379954777e-15       2.471516705457e-13       0.000000000000e+00       1.702307389004e-10       2.226582971306e-11      -5.987437437952e-15 
   29       1.433331217703e-10       2.901242541316e-15       2.539166438793e-13       0.000000000000e+00       1.593416367232e-10       2.090414771853e-11      -1.244371678977e-14 
   30       1.454698317370e-10       3.269275147123e-15       2.598248898013e-13       0.000000000000e+00       1.494490377472e-10       1.965629763017e-11      -1.879660109754e-14 
   31       1.476408721351e-10       3.661183850573e-15       2.642806499531e-13       0.000000000000e+00       1.403519104364e-10       1.851612791737e-11      -2.338596919659e-14 
   32       1.498511189322e-10       4.076643337361e-15       2.670065063907e-13       0.000000000000e+00       1.320039517252e-10       1.747839107773e-11      -2.576207038151e-14 
   33       1.521000007225e-10       4.515898340575e-15       2.678127755689e-13       0.000000000000e+00       1.243469552521e-10       1.652974762567e-11      -2.587386629579e-14 
   34       1.543800567857e-10       4.979914297815e-15       2.665601469475e-13       0.000000000000e+00       1.172747071599e-10       1.565033243045e-11      -2.383866873245e-14 
   35       1.566962096427e-10       5.472862229435e-15       2.633543650210e-13       0.000000000000e+00       1.107513145582e-10       1.483315796967e-11      -2.027645490910e-14 
   36       1.590514610889e-10       6.000601652579e-15       2.584268583378e-13       0.000000000000e+00       1.047246139058e-10       1.407021222246e-11      -1.611701420061e-14 
   37       1.614431001465e-10       6.568806093029e-15       2.520361708915e-13       0.000000000000e+00       9.911640597405e-11       1.335090573386e-11      -1.233545120597e-14 
   38       1.638701962115e-10       7.178516699454e-15       2.442863874558e-13       0.000000000000e+00       9.391238788411e-11       1.267638822629e-11      -9.289149062517e-15 
   39       1.663272654050e-10       7.829125606926e-15       2.352532291540e-13       0.000000000000e+00       8.909626627390e-11       1.204931442485e-11      -7.171908487955e-15 
   40       1.688013561167e-10       8.519522016988e-15       2.250340660535e-13       0.000000000000e+00       8.462240250991e-11       1.146968098295e-11      -6.191823331827e-15 
   41       1.712782037728e-10       9.248489939703e-15       2.136983218791e-13       0.000000000000e+00       8.043175085767e-11       1.093513893764e-11      -6.475158951512e-15 
   42       1.737648093828e-10       1.001614036815e-14       2.011166995829e-13       0.000000000000e+00       7.651206960717e-11       1.044267500904e-11      -7.739812947141e-15 
   43       1.762730175982e-10       1.082288705284e-14       1.870781632191e-13       0.000000000000e+00       7.285300006460e-11       9.987042394133e-12      -9.515933822653e-15 
