# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495051269785e-10       7.308380693222e-15       4.815629288739e-13       2.522253370906e-19       8.617630821842e-09       4.850699945119e-10      -2.515767697603e-12 
    3       1.409080408793e-10       1.238750556056e-14       6.069035061124e-13       5.046835209668e-19       5.401657731731e-09       3.466404394651e-10      -2.211460938037e-12 
    4       1.324408893518e-10       1.446580896569e-14       6.278236806711e-13       8.416484318468e-19       3.768940422992e-09       2.637180130955e-10      -1.764134091316e-12 
    5       1.257342531554e-10       1.338063174876e-14       5.879819563610e-13       1.263408006990e-18       2.816034991254e-09       2.091586729216e-10      -1.309603831867e-12 
    6       1.207927821664e-10       1.032637517492e-14       5.174283951053e-13       1.770303533099e-18       2.200654209571e-09       1.707494575899e-10      -8.949601926536e-13 
    7       1.173218382901e-10       6.845549784976e-15       4.365635336092e-13       2.362718322571e-18       1.774806901768e-09       1.423999525801e-10      -5.445173132988e-13 
    8       1.149988810285e-10       4.046623858589e-15       3.576919566649e-13       3.041065166031e-18       1.465818668251e-09       1.207417807093e-10      -2.690625776171e-13 
    9       1.135805557351e-10       2.340826666995e-15       2.880867416993e-13       3.805773057403e-18       1.233989729636e-09       1.037521725016e-10      -7.021046065744e-14 
   10       1.128529593951e-10       1.576542453557e-15       2.318022481148e-13       4.657273715106e-18       1.055295966135e-09       9.017422948066e-11       5.737470490877e-14 
   11       1.126746601542e-10       1.351539855170e-15       1.905722833803e-13       5.595988428954e-18       8.868502423898e-10       7.938985904674e-11       1.232785293645e-13 
   12       1.129402409675e-10       1.294979230354e-15       1.640703973965e-13       6.622315746856e-18       7.748870697637e-10       7.018187006027e-11       1.421472825827e-13 
   13       1.135263691007e-10       1.208537881338e-15       1.505283239371e-13       7.736620478985e-18       6.829843922349e-10       6.265101041634e-11       1.277437643876e-13 
   14       1.143348991051e-10       1.063900990669e-15       1.473950139559e-13       8.939224441318e-18       6.065234032770e-10       5.612015181927e-11       9.282886810229e-14 
   15       1.153727828907e-10       9.209065231322e-16       1.516570582687e-13       1.023039928751e-17       5.421673884680e-10       5.066366807528e-11       4.963900026020e-14 
