# Matter power spectrum P(k) at redshift z=0
# for k=1.04523e-05 to 33.8029 h/Mpc,
# number of wavenumbers equal to 618
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045229304439e-05       5.243430783013e+01 
       2.333599408213e-05       1.135365630182e+02 
       3.626502281110e-05       1.734979554170e+02 
       4.927418077803e-05       2.329922371571e+02 
       6.239884539552e-05       2.923986079126e+02 
       7.567528552670e-05       3.519987038613e+02 
       8.914098716499e-05       4.120317368874e+02 
       1.028349935423e-04       4.727169635796e+02 
       1.167982640323e-04       5.342651869789e+02 
       1.310740562481e-04       5.968856569974e+02 
       1.457083357420e-04       6.607908246814e+02 
       1.607502176512e-04       7.262000165594e+02 
       1.762524444589e-04       7.933425362539e+02 
       1.922719036640e-04       8.624604913108e+02 
       2.088701884959e-04       9.338114700428e+02 
       2.261142037266e-04       1.007671194757e+03 
       2.440768169626e-04       1.084336152465e+03 
       2.628375533136e-04       1.164126261779e+03 
       2.824833277735e-04       1.247387517307e+03 
       3.031092046648e-04       1.334494605311e+03 
       3.248191667246e-04       1.425853381527e+03 
       3.477268674359e-04       1.521903088115e+03 
       3.719563286558e-04       1.623118177729e+03 
       3.976425312097e-04       1.730009454095e+03 
       4.249318289298e-04       1.843124274363e+03 
       4.539820971567e-04       1.963045422232e+03 
       4.849625063594e-04       2.090388221346e+03 
       5.180527928243e-04       2.225795370736e+03 
       5.534418854605e-04       2.369929019877e+03 
       5.913257465464e-04       2.523459533234e+03 
       6.319043021330e-04       2.687050658264e+03 
       6.753773827663e-04       2.861340865198e+03 
       7.219396736340e-04       3.046921142191e+03 
       7.717747868926e-04       3.244309948018e+03 
       8.250487110013e-04       3.453926581341e+03 
       8.819030440561e-04       3.676064860442e+03 
       9.424485503543e-04       3.910869452007e+03 
       1.006759654799e-03       4.158317357031e+03 
       1.074870474682e-03       4.418206951107e+03 
       1.146772865869e-03       4.690156242395e+03 
       1.222416740758e-03       4.973611069355e+03 
       1.301712638121e-03       5.267862853378e+03 
       1.384536248788e-03       5.572058072092e+03 
       1.470734385419e-03       5.885247973374e+03 
       1.560131769587e-03       6.206454144203e+03 
       1.652538005660e-03       6.534638812217e+03 
       1.747754200121e-03       6.868758317551e+03 
       1.845578830925e-03       7.207787542319e+03 
       1.945812634716e-03       7.550739364657e+03 
       2.048262428239e-03       7.896678949167e+03 
       2.152743895540e-03       8.244733765408e+03 
       2.259083448384e-03       8.594099079742e+03 
       2.367119307023e-03       8.944041334240e+03 
       2.476701959997e-03       9.293895640159e+03 
       2.587694154215e-03       9.643065378017e+03 
       2.699970548357e-03       9.991018363890e+03 
       2.813417139940e-03       1.033728345139e+04 
       2.927930553245e-03       1.068144252837e+04 
       3.043417254226e-03       1.102313141438e+04 
       3.159792740559e-03       1.136202939287e+04 
       3.276980740442e-03       1.169785950011e+04 
       3.394912442439e-03       1.203037864363e+04 
       3.513525770147e-03       1.235938005026e+04 
       3.632764709272e-03       1.268468329404e+04 
       3.752578690276e-03       1.300613564389e+04 
       3.872922026803e-03       1.332360395320e+04 
       3.993753408099e-03       1.363698462288e+04 
       4.115035442455e-03       1.394618062777e+04 
       4.236734248023e-03       1.425111401062e+04 
       4.358819087074e-03       1.455172523855e+04 
       4.481262039678e-03       1.484796320198e+04 
       4.604037712957e-03       1.513979069857e+04 
       4.727122982211e-03       1.542717270784e+04 
       4.850496760511e-03       1.571005826421e+04 
       4.974139793653e-03       1.598851301966e+04 
       5.098034477620e-03       1.626246641605e+04 
       5.222164696023e-03       1.653193564985e+04 
       5.346515675241e-03       1.679700808742e+04 
