# Matter power spectrum P(k) at redshift z=0
# for k=1.04523e-05 to 33.8029 h/Mpc,
# number of wavenumbers equal to 618
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045229304439e-05       5.243431802884e+01 
       2.333599408213e-05       1.135366114658e+02 
       3.626502281110e-05       1.734980679826e+02 
       4.927418077803e-05       2.329924376791e+02 
       6.239884539552e-05       2.923989185233e+02 
       7.567528552670e-05       3.519991451915e+02 
       8.914098716499e-05       4.120323281913e+02 
       1.028349935423e-04       4.727177227944e+02 
       1.167982640323e-04       5.342661307193e+02 
       1.310740562481e-04       5.968868004804e+02 
       1.457083357420e-04       6.607921815747e+02 
       1.607502176512e-04       7.262015987375e+02 
       1.762524444589e-04       7.933443534443e+02 
       1.922719036640e-04       8.624625506041e+02 
       2.088701884959e-04       9.338137752334e+02 
       2.261142037266e-04       1.007673745470e+03 
       2.440768169626e-04       1.084338943012e+03 
       2.628375533136e-04       1.164129279669e+03 
       2.824833277735e-04       1.247390741320e+03 
       3.031092046648e-04       1.334498003010e+03 
       3.248191667246e-04       1.425856906051e+03 
       3.477268674359e-04       1.521906674058e+03 
       3.719563286558e-04       1.623121735861e+03 
       3.976425312097e-04       1.730012864596e+03 
       4.249318289298e-04       1.843127378191e+03 
       4.539820971567e-04       1.963048010150e+03 
       4.849625063594e-04       2.090390020015e+03 
       5.180527928243e-04       2.225796025204e+03 
       5.534418854605e-04       2.369928071669e+03 
       5.913257465464e-04       2.523456393172e+03 
       6.319043021330e-04       2.687044573085e+03 
       6.753773827663e-04       2.861330877062e+03 
       7.219396736340e-04       3.046906040270e+03 
       7.717747868926e-04       3.244288211574e+03 
       8.250487110013e-04       3.453896314108e+03 
       8.819030440561e-04       3.676023716614e+03 
       9.424485503543e-04       3.910814554817e+03 
       1.006759654799e-03       4.158245211587e+03 
       1.074870474682e-03       4.418113353839e+03 
       1.146772865869e-03       4.690036189990e+03 
       1.222416740758e-03       4.973458670324e+03 
       1.301712638121e-03       5.267671245375e+03 
       1.384536248788e-03       5.571819348869e+03 
       1.470734385419e-03       5.884953121608e+03 
       1.560131769587e-03       6.206092989432e+03 
       1.652538005660e-03       6.534199981850e+03 
       1.747754200121e-03       6.868229215036e+03 
       1.845578830925e-03       7.207154333399e+03 
       1.945812634716e-03       7.549986974626e+03 
       2.048262428239e-03       7.895791069874e+03 
       2.152743895540e-03       8.243692870534e+03 
       2.259083448384e-03       8.592886447025e+03 
       2.367119307023e-03       8.942637073127e+03 
       2.476701959997e-03       9.292278724347e+03 
       2.587694154215e-03       9.641213681161e+03 
       2.699970548357e-03       9.988908697988e+03 
       2.813417139940e-03       1.033489160684e+04 
       2.927930553245e-03       1.067874331634e+04 
       3.043417254226e-03       1.102009870834e+04 
       3.159792740559e-03       1.135863617242e+04 
       3.276980740442e-03       1.169407789336e+04 
       3.394912442439e-03       1.202617997162e+04 
       3.513525770147e-03       1.235473486872e+04 
       3.632764709272e-03       1.267956143746e+04 
       3.752578690276e-03       1.300050626716e+04 
       3.872922026803e-03       1.331743557537e+04 
       3.993753408099e-03       1.363024516356e+04 
       4.115035442455e-03       1.393883745409e+04 
       4.236734248023e-03       1.424313397606e+04 
       4.358819087074e-03       1.454307471963e+04 
       4.481262039678e-03       1.483860813967e+04 
       4.604037712957e-03       1.512969663429e+04 
       4.727122982211e-03       1.541630482679e+04 
       4.850496760511e-03       1.569838145410e+04 
       4.974139793653e-03       1.597599181355e+04 
       5.098034477620e-03       1.624906514918e+04 
       5.222164696023e-03       1.651761842432e+04 
       5.346515675241e-03       1.678173873521e+04 
       5.471073855234e-03       1.704134223733e+04 
       5.595826774228e-03       1.729647822938e+04 
       5.720762965695e-03       1.754714364234e+04 
       5.845871866206e-03       1.779285895221e+04 
       5.971143732926e-03       1.803464116538e+04 
       6.096569569658e-03       1.827201575928e+04 
       6.222141060470e-03       1.850502176824e+04 
       6.347850510052e-03       1.873368827867e+04 
       6.473690790065e-03       1.895800624118e+04 
       6.599655290808e-03       1.917804782335e+04 
       6.725737877634e-03       1.939391975968e+04 
       6.851932851590e-03       1.960552188422e+04 
       6.978234913833e-03       1.981310578281e+04 
       7.104639133423e-03       2.001655358431e+04 
       7.231140918132e-03       2.021589527200e+04 
       7.357735987954e-03       2.041108051306e+04 
       7.484420351043e-03       2.060279317855e+04 
       7.611190281834e-03       2.079006495113e+04 
       7.738042301111e-03       2.097387663241e+04 
       7.864973157843e-03       2.115332970607e+04 
       7.991979812612e-03       2.132901768249e+04 
       8.119059422467e-03       2.150099962607e+04 
       8.246209327077e-03       2.166890456609e+04 
       8.373427036054e-03       2.183356626005e+04 
       8.500710217333e-03       2.199512118768e+04 
       8.628056686518e-03       2.215222732453e+04 
       8.755464397097e-03       2.230577056665e+04 
       8.882931431451e-03       2.245573666276e+04 
       9.010455992584e-03       2.260217737981e+04 
       9.138036396503e-03       2.274425119085e+04 
       9.265671065209e-03       2.288383672329e+04 
       9.393358520223e-03       2.302005119494e+04 
       9.521097376615e-03       2.315256354260e+04 
       9.648886337488e-03       2.328286940122e+04 
       9.776724188882e-03       2.340781403476e+04 
       9.904609795058e-03       2.353184032415e+04 
       1.003254209413e-02       2.365059271936e+04 
       1.016052009404e-02       2.376701868419e+04 
       1.028854286880e-02       2.388022008948e+04 
       1.041660955499e-02       2.399047215087e+04 
       1.054471934861e-02       2.409847785943e+04 
       1.067287150201e-02       2.420257956264e+04 
       1.080106532119e-02       2.430364274718e+04 
       1.092930016314e-02       2.440170613462e+04 
       1.105757543351e-02       2.449628776474e+04 
       1.118589058435e-02       2.458794788995e+04 
       1.131424511205e-02       2.467799010099e+04 
       1.144263855542e-02       2.476452373995e+04 
       1.157107049385e-02       2.484802314651e+04 
       1.169954054574e-02       2.492933282531e+04 
       1.182804836683e-02       2.500840451844e+04 
       1.195659364888e-02       2.508289945769e+04 
       1.208517611822e-02       2.515689136231e+04 
       1.221379553459e-02       2.522708960738e+04 
       1.234245168991e-02       2.529489099965e+04 
       1.247114440726e-02       2.536014963080e+04 
       1.259987353984e-02       2.542266451376e+04 
       1.272863897008e-02       2.548138715522e+04 
       1.285744060873e-02       2.554024212076e+04 
       1.298627839411e-02       2.559546339344e+04 
       1.311515229133e-02       2.564812189676e+04 
       1.324406229166e-02       2.569729412446e+04 
       1.337300841183e-02       2.574525405245e+04 
       1.350199069352e-02       2.579238321366e+04 
       1.363100920278e-02       2.583564379369e+04 
       1.376006402957e-02       2.587553070661e+04 
       1.388915528727e-02       2.591430865367e+04 
       1.401828311234e-02       2.595116540452e+04 
       1.414744766388e-02       2.598602910944e+04 
       1.427664912335e-02       2.601905081151e+04 
       1.440588769424e-02       2.604934754413e+04 
       1.453516360181e-02       2.607717509182e+04 
       1.466447709284e-02       2.610224643755e+04 
       1.479382843546e-02       2.612655228578e+04 
       1.492321791892e-02       2.614921250377e+04 
       1.505264585349e-02       2.616837042096e+04 
       1.518211257029e-02       2.618669254870e+04 
       1.531161842122e-02       2.620302689287e+04 
       1.544116377884e-02       2.621724089991e+04 
       1.557074903639e-02       2.622876074156e+04 
       1.570037460768e-02       2.623915056727e+04 
       1.583004092713e-02       2.624837924074e+04 
       1.595974844975e-02       2.625514453736e+04 
       1.608949765120e-02       2.626031277803e+04 
       1.621928902784e-02       2.626251930838e+04 
       1.634912309675e-02       2.626393569720e+04 
       1.647900039591e-02       2.626363574015e+04 
       1.660892148421e-02       2.626167526093e+04 
       1.673888694166e-02       2.625803674590e+04 
       1.686889736949e-02       2.625247174402e+04 
       1.699895339030e-02       2.624588946311e+04 
       1.712905564829e-02       2.623759563633e+04 
       1.725920480941e-02       2.622708231150e+04 
       1.738940156161e-02       2.621569361999e+04 
       1.751964661502e-02       2.620251290149e+04 
       1.764994070227e-02       2.618877034815e+04 
       1.778028457869e-02       2.617161860993e+04 
       1.791067902262e-02       2.615439244416e+04 
       1.804112483570e-02       2.613514672553e+04 
       1.817162284318e-02       2.611489088594e+04 
       1.830217389428e-02       2.609301106919e+04 
       1.843277886250e-02       2.606955304074e+04 
       1.856343864598e-02       2.604504753037e+04 
       1.869415416794e-02       2.601912594900e+04 
       1.882492637700e-02       2.599238321173e+04 
       1.895575624765e-02       2.596358561133e+04 
       1.908664478066e-02       2.593415070585e+04 
       1.921759300355e-02       2.590344771255e+04 
       1.934860197102e-02       2.587062117795e+04 
       1.947967276548e-02       2.583779168187e+04 
       1.961080649751e-02       2.580316187123e+04 
       1.974200430643e-02       2.576714538419e+04 
       1.987326736081e-02       2.573008367282e+04 
       2.000459685904e-02       2.569202547723e+04 
       2.013599402989e-02       2.565278899484e+04 
       2.026746013317e-02       2.561242095225e+04 
       2.039899646027e-02       2.557198526341e+04 
       2.053060433487e-02       2.552885943206e+04 
       2.066228511357e-02       2.548620483997e+04 
       2.079404018659e-02       2.544106803289e+04 
       2.092587097845e-02       2.539569096103e+04 
       2.105777894874e-02       2.534941655335e+04 
       2.118976559286e-02       2.530230819008e+04 
       2.132183244276e-02       2.525389737199e+04 
       2.145398106783e-02       2.520509434345e+04 
       2.158621307562e-02       2.515460939545e+04 
       2.171853011279e-02       2.510369086219e+04 
       2.185093386594e-02       2.505186854241e+04 
       2.198342606252e-02       2.499979249084e+04 
       2.211600847180e-02       2.494577944829e+04 
       2.224868290581e-02       2.489145154516e+04 
       2.238145122033e-02       2.483630810473e+04 
       2.251431531596e-02       2.478038590903e+04 
       2.264727713914e-02       2.472420759119e+04 
       2.278033868326e-02       2.466636200563e+04 
