# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.507260260759e-10       6.277345473016e-15       4.432751000626e-13       0.000000000000e+00       8.547443181580e-09       4.900909894880e-10      -2.329648199509e-12 
    3       1.413971282803e-10       1.003398478858e-14       5.456148021154e-13       0.000000000000e+00       5.288482483685e-09       3.481998019340e-10      -1.988342574605e-12 
    4       1.325349725040e-10       1.101502667889e-14       5.526176087081e-13       0.000000000000e+00       3.679890293035e-09       2.643908486048e-10      -1.529840062572e-12 
    5       1.256532556551e-10       9.518340042883e-15       5.071810054503e-13       0.000000000000e+00       2.746458046305e-09       2.093710687858e-10      -1.083128679479e-12 
    6       1.205919968328e-10       6.823323815717e-15       4.377673223034e-13       0.000000000000e+00       2.146002924465e-09       1.706446022354e-10      -6.919326999090e-13 
    7       1.170682135762e-10       4.210707206767e-15       3.630614291708e-13       0.000000000000e+00       1.732766190487e-09       1.421613875437e-10      -3.764785945497e-13 
    8       1.147357900304e-10       2.389156526113e-15       2.937822597608e-13       0.000000000000e+00       1.433476444015e-09       1.205316342246e-10      -1.429912415342e-13 
    9       1.132628400411e-10       1.445634139300e-15       2.359026893864e-13       0.000000000000e+00       1.208330368036e-09       1.036196980724e-10       1.168498681866e-14 
   10       1.124914323345e-10       1.097920433995e-15       1.920753547246e-13       0.000000000000e+00       1.033993406707e-09       9.007612475775e-11       9.741758748160e-14 
   11       1.122201565692e-10       9.987894180044e-16       1.626335453022e-13       0.000000000000e+00       8.694026429567e-10       7.942480507559e-11       1.281518730728e-13 
   12       1.123710040095e-10       9.257488679364e-16       1.462854882647e-13       0.000000000000e+00       7.600578298343e-10       7.012488068216e-11       1.199562643642e-13 
   13       1.128624705926e-10       8.170549174426e-16       1.405948814329e-13       0.000000000000e+00       6.702689738049e-10       6.261340406630e-11       8.875911785426e-14 
   14       1.135646510332e-10       7.075753669057e-16       1.426709771380e-13       0.000000000000e+00       5.955531230185e-10       5.631240298769e-11       4.764313763534e-14 
   15       1.144872818210e-10       6.457572817128e-16       1.496075797156e-13       0.000000000000e+00       5.326496874882e-10       5.074582599865e-11       6.749474635769e-15 
   16       1.155207253181e-10       6.466340002676e-16       1.589220518323e-13       0.000000000000e+00       4.791501681801e-10       4.602488990453e-11      -2.649830814714e-14 
   17       1.167370537228e-10       6.908989414301e-16       1.688332069497e-13       0.000000000000e+00       4.332427622209e-10       4.200124055071e-11      -4.844348102707e-14 
   18       1.180674769396e-10       7.471312328711e-16       1.781797999187e-13       0.000000000000e+00       3.933851164710e-10       3.847345558428e-11      -5.836726580808e-14 
   19       1.194912899493e-10       8.052795957454e-16       1.865495714132e-13       0.000000000000e+00       3.589511517570e-10       3.536559680302e-11      -5.765991366321e-14 
   20       1.209685684458e-10       8.644011776730e-16       1.937803337002e-13       0.000000000000e+00       3.286141041736e-10       3.256129360189e-11      -4.939836208445e-14 
   21       1.225198070254e-10       9.387747607745e-16       2.001527911435e-13       0.000000000000e+00       3.018997532205e-10       3.005875243104e-11      -3.674982018220e-14 
   22       1.241502988930e-10       1.047582418186e-15       2.061669598343e-13       0.000000000000e+00       2.781717657623e-10       2.785145938768e-11      -2.340368683750e-14 
   23       1.258469658170e-10       1.194788754271e-15       2.122461505751e-13       0.000000000000e+00       2.571053220796e-10       2.590203848691e-11      -1.171839633930e-14 
   24       1.275720832884e-10       1.377867824747e-15       2.187770825259e-13       0.000000000000e+00       2.382144759882e-10       2.413825617246e-11      -3.614723473665e-15 
   25       1.293378900389e-10       1.591892385442e-15       2.258636099636e-13       0.000000000000e+00       2.212783082439e-10       2.253243562347e-11       2.256014527292e-16 
   26       1.311544468758e-10       1.830996876318e-15       2.334490618327e-13       0.000000000000e+00       2.059918082750e-10       2.105912372961e-11      -1.638226195976e-16 
   27       1.330130076232e-10       2.095305843491e-15       2.412684711917e-13       0.000000000000e+00       1.921732160431e-10       1.972218694200e-11      -3.660689414964e-15 
   28       1.348905802529e-10       2.386320293767e-15       2.489321571883e-13       0.000000000000e+00       1.795859262371e-10       1.852285817107e-11      -8.636180027956e-15 
   29       1.367948599359e-10       2.703360930683e-15       2.560712683730e-13       0.000000000000e+00       1.681661968476e-10       1.744829397265e-11      -1.403587478142e-14 
   30       1.387319102851e-10       3.044564245122e-15       2.622503364872e-13       0.000000000000e+00       1.577915740877e-10       1.646699260449e-11      -1.878109513544e-14 
   31       1.406976331524e-10       3.408064805417e-15       2.670150659037e-13       0.000000000000e+00       1.482507323621e-10       1.553980942004e-11      -2.177176093159e-14 
   32       1.426973267325e-10       3.794767671234e-15       2.701976474269e-13       0.000000000000e+00       1.394950269080e-10       1.466777527165e-11      -2.279487080072e-14 
   33       1.447308083353e-10       4.206632960584e-15       2.717250989455e-13       0.000000000000e+00       1.314633663956e-10       1.386073490958e-11      -2.196077064383e-14 
   34       1.467905440456e-10       4.645998559320e-15       2.715662732081e-13       0.000000000000e+00       1.240442542919e-10       1.312324401013e-11      -1.953048910427e-14 
   35       1.488776588514e-10       5.115609949505e-15       2.698157374111e-13       0.000000000000e+00       1.172000974034e-10       1.245032932113e-11      -1.609982969366e-14 
   36       1.509897245265e-10       5.618652247290e-15       2.666451052923e-13       0.000000000000e+00       1.108762399893e-10       1.182921174682e-11      -1.250124450414e-14 
   37       1.531197006297e-10       6.158149980052e-15       2.622417260905e-13       0.000000000000e+00       1.049906815171e-10       1.124466886935e-11      -9.583196502827e-15 
   38       1.552699982200e-10       6.734829871998e-15       2.566602307398e-13       0.000000000000e+00       9.952846851833e-11       1.069578694535e-11      -7.571457937684e-15 
   39       1.574418574066e-10       7.348544863878e-15       2.499246981551e-13       0.000000000000e+00       9.447253454710e-11       1.018412808681e-11      -6.502902585383e-15 
   40       1.596308294773e-10       7.998817484346e-15       2.420688463239e-13       0.000000000000e+00       8.977498446284e-11       9.708966106910e-12      -6.394083776301e-15 
   41       1.618305770002e-10       8.685098393962e-15       2.331008687254e-13       0.000000000000e+00       8.537384628023e-11       9.267847125295e-12      -7.191664073117e-15 
   42       1.640471757068e-10       9.407697313715e-15       2.228833848734e-13       0.000000000000e+00       8.125635543489e-11       8.859016039897e-12      -8.608941488269e-15 
   43       1.662884784720e-10       1.016711728535e-14       2.112149638787e-13       0.000000000000e+00       7.741174151900e-11       8.479412245695e-12      -1.023285491163e-14 
   44       1.685598477207e-10       1.096379667507e-14       1.978601720283e-13       0.000000000000e+00       7.381223292510e-11       8.123796841065e-12      -1.156191688535e-14 
   45       1.708640268624e-10       1.179813089832e-14       1.826001983649e-13       0.000000000000e+00       7.042302038293e-11       7.786348290906e-12      -1.213217343918e-14 
   46       1.732013856974e-10       1.267055275423e-14       1.654077369753e-13       0.000000000000e+00       6.723889174577e-11       7.466406875663e-12      -1.195220685133e-14 
   47       1.755692597332e-10       1.358147075545e-14       1.463208092385e-13       0.000000000000e+00       6.425624533665e-11       7.164167098375e-12      -1.118936213311e-14 
   48       1.779615269528e-10       1.453124467194e-14       1.253954824585e-13       0.000000000000e+00       6.146203811572e-11       6.879004349544e-12      -1.005219929223e-14 
   49       1.803683296916e-10       1.552018381675e-14       1.027068029534e-13       0.000000000000e+00       5.883308290522e-11       6.609411396238e-12      -8.792861350071e-15 
   50       1.827799090690e-10       1.654852285934e-14       7.833271730646e-14       0.000000000000e+00       5.634305587897e-11       6.353530565394e-12      -7.659571848061e-15 
   51       1.851999805446e-10       1.761634550317e-14       5.229852614839e-14       0.000000000000e+00       5.398739186556e-11       6.111067937670e-12      -6.733432769262e-15 
   52       1.876355082533e-10       1.872363712803e-14       2.461896588462e-14       0.000000000000e+00       5.176393180399e-11       5.881788957397e-12      -6.051420520316e-15 
   53       1.900928271884e-10       1.987030274570e-14      -4.685967852453e-15       0.000000000000e+00       4.966547121939e-11       5.664933514041e-12      -5.652405313325e-15 
