#scalar perturbations for mode k = 1.000000000000e+00 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       7.000994708071e-02       1.510711167554e-07      -1.203338503093e+00       2.102030947361e-02       3.755350068361e-10       9.388375170902e-10       9.434654470009e-18       1.877675034180e-10      -9.025038773199e-01       2.102030947361e-02       6.011216385830e-01       6.994108939516e-01      -1.203338503093e+00       2.101572477261e-02       1.964157798837e-04      -9.025038773200e-01       2.102983952167e-02 
       7.000996015992e-02       1.510711449824e-07      -1.203338503967e+00       2.102031340111e-02       3.755352173362e-10       9.388380433404e-10       9.434663284106e-18       1.877676086681e-10      -9.025038779750e-01       2.102031340111e-02       6.011216385103e-01       6.994108938249e-01      -1.203338503967e+00       2.101572869753e-02       1.964158531744e-04      -9.025038779753e-01       2.102984345450e-02 
       7.000997323913e-02       1.510711732094e-07      -1.203338504840e+00       2.102031732860e-02       3.755354278363e-10       9.388385695908e-10       9.434672098209e-18       1.877677139182e-10      -9.025038786302e-01       2.102031732860e-02       6.011216384377e-01       6.994108936981e-01      -1.203338504840e+00       2.101573262246e-02       1.964159264652e-04      -9.025038786306e-01       2.102984738733e-02 
       7.001010403123e-02       1.510714554795e-07      -1.203338513576e+00       2.102035660354e-02       3.755375328423e-10       9.388438321057e-10       9.434760239610e-18       1.877687664211e-10      -9.025038851822e-01       2.102035660354e-02       6.011216377107e-01       6.994108924305e-01      -1.203338513575e+00       2.101577187170e-02       1.964166593733e-04      -9.025038851838e-01       2.102988671568e-02 
       7.001023482334e-02       1.510717377495e-07      -1.203338522312e+00       2.102039587849e-02       3.755396378562e-10       9.388490946405e-10       9.434848381672e-18       1.877698189281e-10      -9.025038917344e-01       2.102039587849e-02       6.011216369837e-01       6.994108911629e-01      -1.203338522311e+00       2.101581112095e-02       1.964173922828e-04      -9.025038917372e-01       2.102992604404e-02 
       7.001036561545e-02       1.510720200196e-07      -1.203338531049e+00       2.102043515343e-02       3.755417428780e-10       9.388543571950e-10       9.434936524393e-18       1.877708714390e-10      -9.025038982866e-01       2.102043515343e-02       6.011216362567e-01       6.994108898953e-01      -1.203338531046e+00       2.101585037020e-02       1.964181251936e-04      -9.025038982908e-01       2.102996537239e-02 
       7.001049640755e-02       1.510723022897e-07      -1.203338539785e+00       2.102047442838e-02       3.755438479077e-10       9.388596197692e-10       9.435024667773e-18       1.877719239538e-10      -9.025039048389e-01       2.102047442838e-02       6.011216355297e-01       6.994108886276e-01      -1.203338539782e+00       2.101588961945e-02       1.964188581059e-04      -9.025039048443e-01       2.103000470075e-02 
       7.001180432861e-02       1.510751249905e-07      -1.203338627148e+00       2.102086717781e-02       3.755648986366e-10       9.389122465916e-10       9.435906137794e-18       1.877824493183e-10      -9.025039703611e-01       2.102086717781e-02       6.011216282595e-01       6.994108759513e-01      -1.203338627137e+00       2.101628211190e-02       1.964261873033e-04      -9.025039703789e-01       2.103039798429e-02 
       7.001311224967e-02       1.510779476914e-07      -1.203338714510e+00       2.102125992721e-02       3.755859501516e-10       9.389648753791e-10       9.436787673682e-18       1.877929750758e-10      -9.025040358828e-01       2.102125992721e-02       6.011216209895e-01       6.994108632754e-01      -1.203338714491e+00       2.101667460432e-02       1.964335166375e-04      -9.025040359130e-01       2.103079126781e-02 
       7.001442017073e-02       1.510807703923e-07      -1.203338801872e+00       2.102165267657e-02       3.756070024526e-10       9.390175061316e-10       9.437669275439e-18       1.878035012263e-10      -9.025041014038e-01       2.102165267657e-02       6.011216137197e-01       6.994108505999e-01      -1.203338801844e+00       2.101706709668e-02       1.964408461086e-04      -9.025041014465e-01       2.103118455131e-02 
       7.001572809179e-02       1.510835930932e-07      -1.203338889232e+00       2.102204542589e-02       3.756280555397e-10       9.390701388492e-10       9.438550943070e-18       1.878140277698e-10      -9.025041669242e-01       2.102204542589e-02       6.011216064501e-01       6.994108379247e-01      -1.203338889197e+00       2.101745958899e-02       1.964481757164e-04      -9.025041669794e-01       2.103157783480e-02 
       7.002569032194e-02       1.511050931649e-07      -1.203339554619e+00       2.102503693480e-02       3.757884394088e-10       9.394710985219e-10       9.445268629688e-18       1.878942197044e-10      -9.025046659643e-01       2.102503693480e-02       6.011215510829e-01       6.994107413918e-01      -1.203339554523e+00       2.102044914000e-02       1.965040086827e-04      -9.025046661145e-01       2.103457341301e-02 
       7.003565255210e-02       1.511265932375e-07      -1.203340219976e+00       2.102802844176e-02       3.759488688941e-10       9.398721722353e-10       9.451990140037e-18       1.879744344471e-10      -9.025051649819e-01       2.102802844176e-02       6.011214957211e-01       6.994106448763e-01      -1.203340219819e+00       2.102343868851e-02       1.965598495861e-04      -9.025051652271e-01       2.103756899043e-02 
       7.004561478226e-02       1.511480933109e-07      -1.203340885319e+00       2.103101994708e-02       3.761093440077e-10       9.402733600192e-10       9.458715475889e-18       1.880546720038e-10      -9.025056639894e-01       2.103101994708e-02       6.011214403611e-01       6.994105483741e-01      -1.203340885101e+00       2.102642823483e-02       1.966156984264e-04      -9.025056643297e-01       2.104056456736e-02 
       7.005557701242e-02       1.511695933853e-07      -1.203341550666e+00       2.103401145108e-02       3.762698647616e-10       9.406746619039e-10       9.465444639017e-18       1.881349323808e-10      -9.025061629996e-01       2.103401145108e-02       6.011213849991e-01       6.994104518810e-01      -1.203341550387e+00       2.102941777927e-02       1.966715552037e-04      -9.025061634350e-01       2.104356014413e-02 
       7.007608187699e-02       1.512138461412e-07      -1.203342920215e+00       2.104016874284e-02       3.766004019848e-10       9.415010049620e-10       9.479307062901e-18       1.883002009924e-10      -9.025071901613e-01       2.104016874284e-02       6.011212710264e-01       6.994102532813e-01      -1.203342919810e+00       2.103557103598e-02       1.967865479811e-04      -9.025071907926e-01       2.104972582236e-02 
