# Matter power spectrum P(k) at redshift z=0
# for k=1.0287e-05 to 34.6186 h/Mpc,
# number of wavenumbers equal to 626
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.028696413042e-05       5.692825584339e+01 
       2.265130253375e-05       1.204911193819e+02 
       3.505634173192e-05       1.824393016932e+02 
       4.753283102032e-05       2.436184898971e+02 
       6.011199375637e-05       3.044774462533e+02 
       7.282578396275e-05       3.653315483937e+02 
       8.570715058025e-05       4.264364691769e+02 
       9.879031262662e-05       4.880178931135e+02 
       1.121110485439e-04       5.502863166443e+02 
       1.257070030460e-04       6.134456010942e+02 
       1.396180147947e-04       6.776985771864e+02 
       1.538864682059e-04       7.432511165831e+02 
       1.685576725985e-04       8.103153757348e+02 
       1.836802716875e-04       8.791125755671e+02 
       1.993066860399e-04       9.498755343309e+02 
       2.154935904810e-04       1.022851060711e+03 
       2.323024274490e-04       1.098302291744e+03 
       2.497999558233e-04       1.176511007255e+03 
       2.680588326311e-04       1.257779917241e+03 
       2.871582220624e-04       1.342434932711e+03 
       3.071844221625e-04       1.430827344073e+03 
       3.282314941560e-04       1.523335875635e+03 
       3.504018723112e-04       1.620368475411e+03 
       3.738069233462e-04       1.722363737586e+03 
       3.985674134536e-04       1.829791717902e+03 
       4.248138281671e-04       1.943153956418e+03 
       4.526864759255e-04       2.062982372209e+03 
       4.823352913313e-04       2.189836717004e+03 
       5.139192405502e-04       2.324300141893e+03 
       5.476052219085e-04       2.466972590391e+03 
       5.835663535143e-04       2.618461488025e+03 
       6.219795516469e-04       2.779369578796e+03 
       6.630223341399e-04       2.950279673976e+03 
       7.068688365917e-04       3.131736518716e+03 
       7.536851077795e-04       3.324226213835e+03 
       8.036238507709e-04       3.528154112494e+03 
       8.568188873598e-04       3.743822544811e+03 
       9.133797271025e-04       3.971410069979e+03 
       9.733866941875e-04       4.210954262191e+03 
       1.036887081086e-03       4.462339869790e+03 
       1.103892740679e-03       4.725293981620e+03 
       1.174379397174e-03       4.999389126680e+03 
       1.248287769022e-03       5.284054279589e+03 
       1.325526389107e-03       5.578573654182e+03 
       1.405975820504e-03       5.882136948235e+03 
       1.489493836022e-03       6.193896508146e+03 
       1.575921076016e-03       6.512929290895e+03 
       1.665086720968e-03       6.838289857233e+03 
       1.756813795553e-03       7.169033760632e+03 
       1.850923833193e-03       7.504237044051e+03 
       1.947240748480e-03       7.843011647587e+03 
       2.045593869517e-03       8.184517273645e+03 
       2.145820162263e-03       8.527969013118e+03 
       2.247765731405e-03       8.872641090487e+03 
       2.351286709758e-03       9.217870410177e+03 
       2.456249656201e-03       9.563054514659e+03 
       2.562531576950e-03       9.907650393720e+03 
       2.670019672052e-03       1.025117124865e+04 
       2.778610892600e-03       1.059318317025e+04 
       2.888211377305e-03       1.093330314436e+04 
