# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_ncdm[1]        15:(.)p_ncdm[1]          16:(.)rho_lambda         17:(.)rho_ur             18:(.)rho_crit           19:(.)rho_tot            20:(.)p_tot              21:(.)p_tot_prime        22:gr.fac. D             23:gr.fac. f          
       1.000000000000e+14       7.091593132835e-26       4.349203663878e-09       2.299598774065e+22       1.309191344201e+04       1.309191344201e-10       1.309191344201e+18       2.510656535832e-09       2.751560535470e+44       2.497899375840e+33       1.499852275560e+34       1.899441285023e+44       6.331470950076e+43       6.331470950076e+43       2.110490316692e+43       3.946581014145e-08       4.005606003904e+41       5.288154521679e+44       5.288154521679e+44       1.762718173835e+44      -1.621417820629e+53       7.208607134439e-20       2.000000000000e+14 
       9.930486593843e+13       7.191222924758e-26       4.378307494335e-09       2.267739304575e+22       1.309191344201e+04       1.318355683610e-10       1.300090709236e+18       2.528231131583e-09       2.675846458098e+44       2.446169392658e+33       1.468791243342e+34       1.847174782955e+44       6.157249276517e+43       6.157249276517e+43       2.052416425506e+43       3.946581014145e-08       3.895384637160e+41       5.142641553513e+44       5.142641553513e+44       1.714213851114e+44      -1.565840743002e+53       1.005689178950e-07       1.433565615564e+02 
       9.861456399050e+13       7.292252415628e-26       4.409230314195e-09       2.236321227648e+22       1.309191344201e+04       1.327584173396e-10       1.291053335885e+18       2.545928749504e-09       2.602215788102e+44       2.395510706096e+33       1.438373466288e+34       1.796346486564e+44       5.987821621879e+43       5.987821621879e+43       1.995940540626e+43       3.946581014145e-08       3.788196207173e+41       5.001132633228e+44       5.001132633228e+44       1.667044211020e+44      -1.512168671918e+53       2.011378357900e-07       7.167828077820e+01 
       9.792906056653e+13       7.394701269815e-26       4.440153134055e-09       2.205338428072e+22       1.309191344201e+04       1.336877262609e-10       1.282078784394e+18       2.563750250750e-09       2.530611196824e+44       2.345901130250e+33       1.408585622974e+34       1.746916821064e+44       5.823056070214e+43       5.823056070214e+43       1.941018690071e+43       3.946581014145e-08       3.683957257301e+41       4.863517582332e+44       4.863517582332e+44       1.621172527389e+44      -1.460336309775e+53       3.017067536849e-07       4.778552051880e+01 
       9.724832231036e+13       7.498589427954e-26       4.471075953916e-09       2.174784875358e+22       1.309191344201e+04       1.346235403448e-10       1.273166618068e+18       2.581696502505e-09       2.460976933110e+44       2.297318938674e+33       1.379414667854e+34       1.698847300643e+44       5.662824335475e+43       5.662824335475e+43       1.887608111825e+43       3.946581014145e-08       3.582586627356e+41       4.729689254088e+44       4.729689254088e+44       1.576563084642e+44      -1.410280597165e+53       4.022756715799e-07       3.583914038910e+01 
       9.657231609767e+13       7.603937110828e-26       4.503817763180e-09       2.144654622566e+22       1.309191344201e+04       1.355659051272e-10       1.264316403245e+18       2.599768378023e-09       2.393258779894e+44       2.249742854860e+33       1.350847825546e+34       1.652100498490e+44       5.507001661632e+43       5.507001661632e+43       1.835667220544e+43       3.946581014145e-08       3.484005390419e+41       4.599543450095e+44       4.599543450095e+44       1.533181149979e+44      -1.361940636159e+53       5.028445894748e-07       2.867131231128e+01 
       9.590100903443e+13       7.710764823298e-26       4.534740583040e-09       2.114941805146e+22       1.309191344201e+04       1.365148664631e-10       1.255527709280e+18       2.617966756669e-09       2.327404011992e+44       2.203152042927e+33       1.322872585241e+34       1.606640017662e+44       5.355466725541e+43       5.355466725541e+43       1.785155575180e+43       3.946581014145e-08       3.388136791385e+41       4.472978839154e+44       4.472978839154e+44       1.490992946333e+44      -1.315257616214e+53       6.034135073697e-07       2.389276025940e+01 
       9.523436845525e+13       7.819093358300e-26       4.565663402900e-09       2.085640639798e+22       1.309191344201e+04       1.374704705283e-10       1.246800108520e+18       2.636292523966e-09       2.263361355047e+44       2.157526098491e+33       1.295476695219e+34       1.562430462743e+44       5.208101542478e+43       5.208101542478e+43       1.736033847493e+43       3.946581014145e-08       3.294906187201e+41       4.349896878376e+44       4.349896878376e+44       1.449965626075e+44      -1.270174742629e+53       7.039824252646e-07       2.047950879377e+01 
       9.457236192179e+13       7.928943800891e-26       4.598405212164e-09       2.056745423345e+22       1.309191344201e+04       1.384327638220e-10       1.238133176286e+18       2.654746571633e-09       2.201080945604e+44       2.112845039730e+33       1.268648157486e+34       1.519437412284e+44       5.064791374280e+43       5.064791374280e+43       1.688263791427e+43       3.946581014145e-08       3.204240988754e+41       4.230201736453e+44       4.230201736453e+44       1.410067245435e+44      -1.226637167445e+53       8.045513431595e-07       1.791957019455e+01 
       9.391495722125e+13       8.040337532349e-26       4.631147021428e-09       2.028250531627e+22       1.309191344201e+04       1.394017931688e-10       1.229526490850e+18       2.673329797635e-09       2.140514292293e+44       2.069089298634e+33       1.242375222521e+34       1.477627392002e+44       4.925424640007e+43       4.925424640007e+43       1.641808213336e+43       3.946581014145e-08       3.116070604344e+41       4.113800219045e+44       4.113800219045e+44       1.371266739633e+44      -1.184591922716e+53       9.051202610543e-07       1.592850683960e+01 
       9.326212236469e+13       8.153296234341e-26       4.662069841288e-09       2.000150418399e+22       1.309191344201e+04       1.403776057209e-10       1.220979633417e+18       2.692043106218e-09       2.081614238068e+44       2.026239712435e+33       1.216646384126e+34       1.436967848720e+44       4.789892829068e+43       4.789892829068e+43       1.596630943023e+43       3.946581014145e-08       3.030326384731e+41       4.000601696222e+44       4.000601696222e+44       1.333533898693e+44      -1.143987856073e+53       1.005689178949e-06       1.433565615564e+01 
       9.261382558559e+13       8.267841893137e-26       4.694811650552e-09       1.972439614259e+22       1.309191344201e+04       1.413602489610e-10       1.212492188100e+18       2.710887407961e-09       2.024334923495e+44       1.984277515214e+33       1.191450374391e+34       1.397427125020e+44       4.658090416733e+43       4.658090416733e+43       1.552696805578e+43       3.946581014145e-08       2.946941569679e+41       3.890518031897e+44       3.890518031897e+44       1.296839343919e+44      -1.104775568486e+53       1.106258096844e-06       1.303241468694e+01 
       9.197003533823e+13       8.383996803894e-26       4.727553459816e-09       1.945112725577e+22       1.309191344201e+04       1.423497707037e-10       1.204063741906e+18       2.729863619817e-09       1.968631751041e+44       1.943184329682e+33       1.166776158758e+34       1.358974434592e+44       4.529914781972e+43       4.529914781972e+43       1.509971593991e+43       3.946581014145e-08       2.865851235979e+41       3.783463515202e+44       3.783463515202e+44       1.261154505022e+44      -1.066907354169e+53       1.206827014739e-06       1.194638012970e+01 
       9.133072029615e+13       8.501783574992e-26       4.762114258483e-09       1.918164433452e+22       1.309191344201e+04       1.433462190986e-10       1.195693884713e+18       2.748972665156e-09       1.914461350357e+44       1.902942159133e+33       1.142612931186e+34       1.321579838267e+44       4.405266127557e+43       4.405266127557e+43       1.468422042519e+43       3.946581014145e-08       2.786992246900e+41       3.679354793760e+44       3.679354793760e+44       1.226451597875e+44      -1.030337142537e+53       1.307395932634e-06       1.102742781203e+01 
       9.069584935070e+13       8.621225132437e-26       4.794856067747e-09       1.891589492670e+22       1.309191344201e+04       1.443496426323e-10       1.187382209249e+18       2.768215473812e-09       1.861781544502e+44       1.863533379564e+33       1.118950109422e+34       1.285214220707e+44       4.284047402356e+43       4.284047402356e+43       1.428015800785e+43       3.946581014145e-08       2.710303203030e+41       3.578110808778e+44       3.578110808778e+44       1.192703602882e+44      -9.950204421629e+52       1.407964850529e-06       1.023975439688e+01 
       9.006539160943e+13       8.742344724322e-26       4.827597877011e-09       1.865382730686e+22       1.309191344201e+04       1.453600901307e-10       1.179128311071e+18       2.787592982128e-09       1.810551317112e+44       1.824940731950e+33       1.095777330365e+34       1.249849267731e+44       4.166164225771e+43       4.166164225771e+43       1.388721408590e+43       3.946581014145e-08       2.635724394471e+41       3.479652731943e+44       3.479652731943e+44       1.159884243938e+44      -9.609142866421e+52       1.508533768423e-06       9.557104103757e+00 
       8.943931639467e+13       8.865165925354e-26       4.862158675678e-09       1.839539046621e+22       1.309191344201e+04       1.463776107617e-10       1.170931788551e+18       2.807106133003e-09       1.760730780460e+44       1.787147314695e+33       1.073084445527e+34       1.215457444277e+44       4.051524814257e+43       4.051524814257e+43       1.350508271419e+43       3.946581014145e-08       2.563197754348e+41       3.383903904042e+44       3.383903904042e+44       1.127967967972e+44      -9.279771823239e+52       1.609102686318e-06       8.959785097272e+00 
       8.881759324197e+13       8.989712641439e-26       4.896719474345e-09       1.814053410260e+22       1.309191344201e+04       1.474022540370e-10       1.162792242851e+18       2.826755875934e-09       1.712281144399e+44       1.750136576221e+33       1.050861516591e+34       1.182011972956e+44       3.940039909853e+43       3.940039909853e+43       1.313346636618e+43       3.946581014145e-08       2.492666813600e+41       3.290789775277e+44       3.290789775277e+44       1.096929925051e+44      -8.961690578282e+52       1.709671604213e-06       8.432738915079e+00 
       8.820019189868e+13       9.116009114338e-26       4.929461283609e-09       1.788920861083e+22       1.309191344201e+04       1.484340698153e-10       1.154709277906e+18       2.846543167065e-09       1.665164686165e+44       1.713892307724e+33       1.029098811052e+34       1.149486813207e+44       3.831622710690e+43       3.831622710690e+43       1.277207570230e+43       3.946581014145e-08       2.424076657013e+41       3.200237847218e+44       3.200237847218e+44       1.066745949033e+44      -8.654512152956e+52       1.810240522108e-06       7.964253419797e+00 
