# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.455558912091e-10       5.903363099870e-15       4.384023050240e-13       1.770782972723e-19       8.550558458349e-09       4.573534388719e-10      -2.261818607193e-12 
    3       1.374132533922e-10       9.669042034842e-15       5.411325706619e-13       3.543250190028e-19       5.266750341444e-09       3.256143186481e-10      -1.951611106442e-12 
    4       1.293895785407e-10       1.091555309445e-14       5.514609878985e-13       5.909103575627e-19       3.650001220271e-09       2.471747472105e-10      -1.525486191628e-12 
    5       1.230713734847e-10       9.738959897947e-15       5.101249498890e-13       8.870434579162e-19       2.714451737042e-09       1.955678834793e-10      -1.104469591266e-12 
    6       1.184679338045e-10       7.234728561472e-15       4.442184119916e-13       1.242972984342e-18       2.113172342364e-09       1.592780718298e-10      -7.296011660957e-13 
    7       1.152303187844e-10       4.625317648727e-15       3.718504285338e-13       1.658979350087e-18       1.700187713769e-09       1.325510058435e-10      -4.208397812786e-13 
    8       1.130748665279e-10       2.679437880242e-15       3.036422190787e-13       2.135366094597e-18       1.402056919776e-09       1.121420996597e-10      -1.856277276997e-13 
    9       1.117574263384e-10       1.588648092358e-15       2.455119126762e-13       2.672450742964e-18       1.178278793813e-09       9.612516748274e-11      -2.297377664756e-14 
   10       1.110631351172e-10       1.146885239173e-15       2.003904172243e-13       3.270555500762e-18       1.005265741082e-09       8.334986088286e-11       7.436735901929e-14 
   11       1.109294464810e-10       1.023707042826e-15       1.689364770818e-13       3.929998141718e-18       8.482194884097e-10       7.341607231073e-11       1.173085505990e-13 
   12       1.111519111536e-10       9.678406736859e-16       1.502402460037e-13       4.651083435396e-18       7.398999753299e-10       6.492629495199e-11       1.210092581614e-13 
   13       1.116407155947e-10       8.779763256302e-16       1.424039026520e-13       5.434095437896e-18       6.510850482828e-10       5.773937081515e-11       9.833500324573e-14 
   14       1.124111040411e-10       7.669630522030e-16       1.427828955957e-13       6.279290931207e-18       5.772658616930e-10       5.161853586482e-11       6.204747182787e-14 
