# Matter power spectrum P(k) at redshift z=0
# for k=1.05647e-05 to 34.5534 h/Mpc,
# number of wavenumbers equal to 621
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.056473425813e-05       5.278111202198e+01 
       2.342702558486e-05       1.124617957003e+02 
       3.633476487763e-05       1.706289181407e+02 
       4.932258173529e-05       2.280944535443e+02 
       6.242567992675e-05       2.852925617421e+02 
       7.568015038812e-05       3.425313392925e+02 
       8.912329424072e-05       4.000630036758e+02 
       1.027939601131e-04       4.581121976722e+02 
       1.167329000834e-04       5.168901901692e+02 
       1.309831485914e-04       5.766031704239e+02 
       1.455904286757e-04       6.374577716252e+02 
       1.606035898343e-04       6.996651537801e+02 
       1.760750816275e-04       7.634443404428e+02 
       1.920614667808e-04       8.290251250481e+02 
       2.086239768934e-04       8.966507717739e+02 
       2.258291127963e-04       9.665806125594e+02 
       2.437492899608e-04       1.039092597452e+03 
       2.624635269201e-04       1.114485828977e+03 
       2.820581711641e-04       1.193083084877e+03 
       3.026276520758e-04       1.275233266367e+03 
       3.242752438250e-04       1.361313739695e+03 
       3.471138123205e-04       1.451732443841e+03 
       3.712665089755e-04       1.546929601721e+03 
       3.968673599041e-04       1.647378856977e+03 
       4.240616822609e-04       1.753587537654e+03 
       4.530062402672e-04       1.866095745251e+03 
       4.838690333622e-04       1.985473802487e+03 
       5.168285903535e-04       2.112317688959e+03 
       5.520726304511e-04       2.247241903963e+03 
       5.897959503855e-04       2.390869314588e+03 
       6.301974137077e-04       2.543817600817e+03 
       6.734759616794e-04       2.706682170155e+03 
       7.198256413193e-04       2.880015606554e+03 
       7.694297571003e-04       3.064304346582e+03 
       8.224543922027e-04       3.259943766186e+03 
       8.790416955600e-04       3.467213386500e+03 
       9.393034630726e-04       3.686254615682e+03 
       1.003315619058e-03       3.917053498030e+03 
       1.071114193803e-03       4.159430818875e+03 
       1.142693277177e-03       4.413041099893e+03 
       1.218005215471e-03       4.677380870057e+03 
       1.296963046429e-03       4.951805275106e+03 
       1.379444893270e-03       5.235550654906e+03 
       1.465299821025e-03       5.527760989712e+03 
       1.554354538901e-03       5.827515920914e+03 
       1.646420322682e-03       6.133858825178e+03 
       1.741299614676e-03       6.445823389931e+03 
       1.838791900592e-03       6.762458125449e+03 
       1.938698623803e-03       7.082846004172e+03 
       2.040827045707e-03       7.406118239518e+03 
       2.144993077088e-03       7.731462794288e+03 
       2.251023182815e-03       8.058127460112e+03 
       2.358755503626e-03       8.385422229845e+03 
       2.468040351811e-03       8.712719743685e+03 
       2.578740231260e-03       9.039453082947e+03 
       2.690729515007e-03       9.365117936579e+03 
       2.803893891071e-03       9.689263866111e+03 
       2.918129664539e-03       1.001149167738e+04 
       3.033342982805e-03       1.033144626198e+04 
       3.149449032877e-03       1.064881384778e+04 
       3.266371245033e-03       1.096332064264e+04 
