# Matter power spectrum P(k) at redshift z=0
# for k=1.05647e-05 to 34.5534 h/Mpc,
# number of wavenumbers equal to 621
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.056473425813e-05       5.275098567076e+01 
       2.342702558486e-05       1.123977564346e+02 
       3.633476487763e-05       1.705321615199e+02 
       4.932258173529e-05       2.279658882873e+02 
       6.242567992675e-05       2.851330308482e+02 
       7.568015038812e-05       3.423417017842e+02 
       8.912329424072e-05       3.998441803742e+02 
       1.027939601131e-04       4.578652049797e+02 
       1.167329000834e-04       5.166161700917e+02 
       1.309831485914e-04       5.763034204740e+02 
       1.455904286757e-04       6.371337765222e+02 
       1.606035898343e-04       6.993186201052e+02 
       1.760750816275e-04       7.630772349930e+02 
       1.920614667808e-04       8.286397173828e+02 
       2.086239768934e-04       8.962496811492e+02 
       2.258291127963e-04       9.661668591017e+02 
       2.437492899608e-04       1.038669656977e+03 
       2.624635269201e-04       1.114057690160e+03 
       2.820581711641e-04       1.192654306560e+03 
       3.026276520758e-04       1.274809031502e+03 
       3.242752438250e-04       1.360899900726e+03 
       3.471138123205e-04       1.451335552178e+03 
       3.712665089755e-04       1.546556911345e+03 
       3.968673599041e-04       1.647038289410e+03 
       4.240616822609e-04       1.753287592839e+03 
       4.530062402672e-04       1.865845341052e+03 
       4.838690333622e-04       1.985282026266e+03 
       5.168285903535e-04       2.112193449301e+03 
       5.520726304511e-04       2.247193482515e+03 
       5.897959503855e-04       2.390903839069e+03 
       6.301974137077e-04       2.543940492163e+03 
       6.734759616794e-04       2.706896657635e+03 
       7.198256413193e-04       2.880322445748e+03 
       7.694297571003e-04       3.064701896939e+03 
       8.224543922027e-04       3.260428563082e+03 
       8.790416955600e-04       3.467781245204e+03 
       9.393034630726e-04       3.686902126635e+03 
       1.003315619058e-03       3.917779545949e+03 
       1.071114193803e-03       4.160237587785e+03 
       1.142693277177e-03       4.413934052883e+03 
       1.218005215471e-03       4.678367523829e+03 
       1.296963046429e-03       4.952893175581e+03 
       1.379444893270e-03       5.236745509598e+03 
       1.465299821025e-03       5.529066017932e+03 
       1.554354538901e-03       5.828932885014e+03 
       1.646420322682e-03       6.135390146134e+03 
       1.741299614676e-03       6.447473922984e+03 
       1.838791900592e-03       6.764235328225e+03 
       1.938698623803e-03       7.084758401060e+03 
       2.040827045707e-03       7.408173439182e+03 
       2.144993077088e-03       7.733666686050e+03 
       2.251023182815e-03       8.060485187362e+03 
       2.358755503626e-03       8.387939967788e+03 
       2.468040351811e-03       8.715405624644e+03 
       2.578740231260e-03       9.042316487047e+03 
       2.690729515007e-03       9.368167960220e+03 
       2.803893891071e-03       9.692508505612e+03 
       2.918129664539e-03       1.001493846580e+04 
       3.033342982805e-03       1.033510357696e+04 
       3.149449032877e-03       1.065269149781e+04 
       3.266371245033e-03       1.096742918949e+04 
       3.384040525711e-03       1.127907640520e+04 
       3.502394533865e-03       1.158742255915e+04 
       3.621377008742e-03       1.189228500180e+04 
       3.740937152551e-03       1.219350642204e+04 
       3.861029068429e-03       1.249094972516e+04 
       3.981611252096e-03       1.278449762423e+04 
       4.102646134344e-03       1.307404887998e+04 
       4.224099670807e-03       1.335951821798e+04 
       4.345940975116e-03       1.364083253896e+04 
       4.468141991504e-03       1.391793345742e+04 
       4.590677202998e-03       1.419076172699e+04 
       4.713523371539e-03       1.445930340788e+04 
       4.836659306637e-03       1.472349818661e+04 
       4.960065659440e-03       1.498333687232e+04 
       5.083724739390e-03       1.523880395582e+04 
       5.207620350920e-03       1.548988824882e+04 
       5.331737647914e-03       1.573658347373e+04 
       5.456063003901e-03       1.597888750895e+04 
       5.580583896182e-03       1.621680962603e+04 
       5.705288802298e-03       1.645035182867e+04 
       5.830167107422e-03       1.667953268687e+04 
