# Matter power spectrum P(k) at redshift z=0
# for k=1.05647e-05 to 34.5534 h/Mpc,
# number of wavenumbers equal to 621
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.056473425813e-05       5.275098567076e+01 
       2.342702558486e-05       1.123977564346e+02 
       3.633476487763e-05       1.705321615199e+02 
       4.932258173529e-05       2.279658882873e+02 
       6.242567992675e-05       2.851330308482e+02 
       7.568015038812e-05       3.423417017842e+02 
       8.912329424072e-05       3.998441803742e+02 
       1.027939601131e-04       4.578652049797e+02 
       1.167329000834e-04       5.166161700917e+02 
       1.309831485914e-04       5.763034204740e+02 
       1.455904286757e-04       6.370875509830e+02 
       1.606035898343e-04       6.992626823086e+02 
       1.760750816275e-04       7.630103529111e+02 
       1.920614667808e-04       8.285605352133e+02 
       2.086239768934e-04       8.961566988060e+02 
       2.258291127963e-04       9.660584086271e+02 
       2.437492899608e-04       1.038543875313e+03 
       2.624635269201e-04       1.113912487624e+03 
       2.820581711641e-04       1.192487330289e+03 
       3.026276520758e-04       1.274617623015e+03 
       3.242752438250e-04       1.360681046658e+03 
       3.471138123205e-04       1.451085827138e+03 
       3.712665089755e-04       1.546272411777e+03 
       3.968673599041e-04       1.646714557269e+03 
       4.240616822609e-04       1.752919527933e+03 
       4.530062402672e-04       1.865427100957e+03 
       4.838690333622e-04       1.984806913015e+03 
       5.168285903535e-04       2.111653782390e+03 
       5.520726304511e-04       2.246580458462e+03 
       5.897959503855e-04       2.390207378650e+03 
       6.301974137077e-04       2.543149077701e+03 
       6.734759616794e-04       2.705997164179e+03 
       7.198256413193e-04       2.879299971752e+03 
       7.694297571003e-04       3.063539601774e+03 
       8.224543922027e-04       3.259107520295e+03 
       8.790416955600e-04       3.466280321481e+03 
       9.393034630726e-04       3.685197896541e+03 
       1.003315619058e-03       3.915846251526e+03 
       1.071114193803e-03       4.158047149778e+03 
       1.142693277177e-03       4.411456136947e+03 
       1.218005215471e-03       4.675569660917e+03 
       1.296963046429e-03       4.949740931401e+03 
       1.379444893270e-03       5.233202694598e+03 
       1.465299821025e-03       5.525094926617e+03 
       1.554354538901e-03       5.824494552483e+03 
       1.646420322682e-03       6.130444610153e+03 
       1.741299614676e-03       6.441980481672e+03 
       1.838791900592e-03       6.758152784759e+03 
       1.938698623803e-03       7.078045289936e+03 
       2.040827045707e-03       7.400788230465e+03 
       2.144993077088e-03       7.725567965268e+03 
       2.251023182815e-03       8.051631812011e+03 
       2.358755503626e-03       8.378291199880e+03 
       2.468040351811e-03       8.704921242245e+03 
       2.578740231260e-03       9.030956879246e+03 
       2.690729515007e-03       9.355894199559e+03 
       2.803893891071e-03       9.679282411196e+03 
       2.918129664539e-03       1.000072264970e+04 
       3.033342982805e-03       1.031986148292e+04 
       3.149449032877e-03       1.063638742975e+04 
       3.266371245033e-03       1.095002833009e+04 
       3.384040525711e-03       1.126054483219e+04 
       3.502394533865e-03       1.156772725609e+04 
       3.621377008742e-03       1.187139386180e+04 
       3.740937152551e-03       1.217138824696e+04 
       3.861029068429e-03       1.246757422653e+04 
       3.981611252096e-03       1.275983541800e+04 
       4.102646134344e-03       1.304807148269e+04 
       4.224099670807e-03       1.333219803761e+04 
       4.345940975116e-03       1.361214286906e+04 
       4.468141991504e-03       1.388784846119e+04 
       4.590677202998e-03       1.415925645392e+04 
       4.713523371539e-03       1.442635369674e+04 
       4.836659306637e-03       1.468908078571e+04 
       4.960065659440e-03       1.494742932177e+04 
       5.083724739390e-03       1.520138460601e+04 
       5.207620350920e-03       1.545093625202e+04 
       5.331737647914e-03       1.569607877269e+04 
       5.456063003901e-03       1.593681082612e+04 
       5.580583896182e-03       1.617314243029e+04 
       5.705288802298e-03       1.640507635439e+04 
       5.830167107422e-03       1.663263188234e+04 
