# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       1.000000000000e+14       7.558503632293e-26       4.634785000235e-09       2.157545946628e+22       1.910636450126e+04       1.910636450126e-10       1.910636450126e+18       2.675958164839e-09       2.751560535470e+44       2.225300112107e+33       5.069511817894e+33       4.339565124443e-08       1.903443976270e+44       4.655004511813e+44       1.404051442409e-19       2.000000000000e+14 
       9.930486593843e+13       7.664693049823e-26       4.667526809499e-09       2.127654528162e+22       1.910636450126e+04       1.924010905276e-10       1.897354965368e+18       2.694689871993e-09       2.675846458098e+44       2.179215494573e+33       4.964525298573e+33       4.339565124443e-08       1.851067333040e+44       4.526913791210e+44       1.958824105665e-07       1.433565615564e+02 
       9.861456399050e+13       7.772374322480e-26       4.700268618762e-09       2.098177236172e+22       1.910636450126e+04       1.937478981613e-10       1.884165804735e+18       2.713552701097e-09       2.602215788102e+44       2.134085261555e+33       4.861712986481e+33       4.339565124443e-08       1.800131926217e+44       4.402347714389e+44       3.917648211328e-07       7.167828077821e+01 
       9.792906056653e+13       7.881568409337e-26       4.733010428026e-09       2.069108333199e+22       1.910636450125e+04       1.951041334485e-10       1.871068326450e+18       2.732547570005e-09       2.530611196824e+44       2.089889648330e+33       4.761029855101e+33       4.339565124443e-08       1.750598097619e+44       4.281209294512e+44       5.876472316991e-07       4.778552051881e+01 
       9.724832231036e+13       7.992296563920e-26       4.765752237290e-09       2.040442161275e+22       1.910636450125e+04       1.964698623826e-10       1.858061893197e+18       2.751675402995e-09       2.460976933110e+44       2.046609299487e+33       4.662431810393e+33       4.339565124443e-08       1.702427280332e+44       4.163404213508e+44       7.835296422654e-07       3.583914038911e+01 
       9.657231609767e+13       8.104580338346e-26       4.798494046554e-09       2.012173140820e+22       1.910636450125e+04       1.978451514193e-10       1.845145872093e+18       2.770937130815e-09       2.393258779894e+44       2.004225260455e+33       4.565875671473e+33       4.339565124443e-08       1.655581968676e+44       4.048840748636e+44       9.794120528317e-07       2.867131231129e+01 
       9.590100903443e+13       8.218441587519e-26       4.831235855818e-09       1.984295769553e+22       1.910636450125e+04       1.992300674792e-10       1.832319634650e+18       2.790333690731e-09       2.327404011992e+44       1.962718969200e+33       4.471319151709e+33       4.339565124443e-08       1.610025689010e+44       3.937429701067e+44       1.175294463398e-06       2.389276025941e+01 
       9.523436845525e+13       8.333902473382e-26       4.867615643889e-09       1.956804621427e+22       1.910636450125e+04       2.006246779516e-10       1.819582556753e+18       2.809866026566e-09       2.263361355047e+44       1.922072248099e+33       4.378720840200e+33       4.339565124443e-08       1.565722971329e+44       3.829084326438e+44       1.371176873964e-06       2.047950879378e+01 
       9.457236192179e+13       8.450985469231e-26       4.900357453153e-09       1.929694345566e+22       1.910636450125e+04       2.020290506972e-10       1.806934018622e+18       2.829535088752e-09       2.201080945604e+44       1.882267295973e+33       4.288040183639e+33       4.339565124443e-08       1.522639321645e+44       3.723720267310e+44       1.567059284531e-06       1.791957019455e+01 
       9.391495722125e+13       8.569713364088e-26       4.936737241223e-09       1.902959665230e+22       1.910636450125e+04       2.034432540521e-10       1.794373404789e+18       2.849341834373e-09       2.140514292293e+44       1.843286680298e+33       4.199237468553e+33       4.339565124443e-08       1.480741195137e+44       3.621255487491e+44       1.762941695097e-06       1.592850683960e+01 
