# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.646903620358e+03       5.602818100509e-02       0.000000000000e+00       3.005463749367e+00       3.836478436020e-08       4.927538161060e-03      -1.607430118999e-05 
    3       1.436912882123e+03       5.811988154033e-02       0.000000000000e+00       3.518213060714e+00       4.684657697448e-08       4.714119275998e-03      -1.483212291869e-05 
    4       1.281862328181e+03       3.936618516292e-02       0.000000000000e+00       3.216388443449e+00       5.370882683871e-08       4.450739652067e-03      -9.648909030228e-06 
    5       1.174018263437e+03       2.080058761787e-02       0.000000000000e+00       2.607980160120e+00       5.949001583120e-08       4.186550666744e-03      -3.586613325148e-06 
    6       1.100619981826e+03       1.051815171388e-02       0.000000000000e+00       1.974169558462e+00       6.435882027643e-08       3.936819159442e-03       1.275672895456e-06 
    7       1.051351579929e+03       6.552809022188e-03       0.000000000000e+00       1.459242092035e+00       6.850964673796e-08       3.708895130604e-03       3.926274447135e-06 
    8       1.018939423290e+03       4.924171882145e-03       0.000000000000e+00       1.106942178234e+00       7.208926185246e-08       3.503530511418e-03       4.352153373571e-06 
    9       9.983866461493e+02       3.719557213151e-03       0.000000000000e+00       9.041539689622e-01       7.518084160773e-08       3.317761965769e-03       3.231189128085e-06 
   10       9.866573483433e+02       2.758721715787e-03       0.000000000000e+00       8.126636337361e-01       7.783600078660e-08       3.148086301134e-03       1.510049014861e-06 
   11       9.811149289536e+02       2.176259052576e-03       0.000000000000e+00       7.903100875222e-01       7.951212571820e-08       3.017549916419e-03       3.792544155356e-08 
   12       9.806606803304e+02       1.884464953326e-03       0.000000000000e+00       8.020857222226e-01       8.148545317550e-08       2.867151025357e-03      -7.809462951159e-07 
   13       9.844403111807e+02       1.746173460992e-03       0.000000000000e+00       8.250752572601e-01       8.316731219513e-08       2.727684842392e-03      -8.737443321215e-07 
   14       9.910332803681e+02       1.732948104720e-03       0.000000000000e+00       8.501430187139e-01       8.459404472459e-08       2.601122165642e-03      -4.863802607398e-07 
   15       1.000622813847e+03       1.871115926684e-03       0.000000000000e+00       8.781545038382e-01       8.579521329022e-08       2.483638503881e-03       1.943428576404e-08 
   16       1.012607348094e+03       2.161947749286e-03       0.000000000000e+00       9.128181264250e-01       8.679847258149e-08       2.374086544477e-03       3.496744727290e-07 
   17       1.025975253299e+03       2.582731514544e-03       0.000000000000e+00       9.584496580048e-01       8.762418945137e-08       2.271552399283e-03       3.760605940966e-07 
   18       1.041135971198e+03       3.114931724356e-03       0.000000000000e+00       1.016538100513e+00       8.825691297717e-08       2.176305381211e-03       1.499099450343e-07 
   19       1.058173089886e+03       3.748233593430e-03       0.000000000000e+00       1.083738239248e+00       8.882090265276e-08       2.090299621132e-03      -1.988477701433e-07 
   20       1.076380548382e+03       4.470317758288e-03       0.000000000000e+00       1.153866152039e+00       8.921638792208e-08       2.009526784587e-03      -4.782768623815e-07 
   21       1.095635784701e+03       5.277432492032e-03       0.000000000000e+00       1.221913812384e+00       8.950961368407e-08       1.933506008808e-03      -6.055330836760e-07 
   22       1.115761856471e+03       6.170279953946e-03       0.000000000000e+00       1.283063507383e+00       8.968300472575e-08       1.860043246280e-03      -5.572513948229e-07 
   23       1.136949141237e+03       7.163292730067e-03       0.000000000000e+00       1.335724750459e+00       8.978874730144e-08       1.790730175739e-03      -3.954203008562e-07 
   24       1.159271411749e+03       8.275751096551e-03       0.000000000000e+00       1.379909483259e+00       8.979208022936e-08       1.726416013775e-03      -2.347049913370e-07 
   25       1.182524127039e+03       9.518576899952e-03       0.000000000000e+00       1.417782875340e+00       8.973325203032e-08       1.666624025209e-03      -1.382350504876e-07 
   26       1.206310834229e+03       1.089975083549e-02       0.000000000000e+00       1.452073716351e+00       8.959716191207e-08       1.608969910630e-03      -1.446758961050e-07 
   27       1.230689352982e+03       1.242575414373e-02       0.000000000000e+00       1.482421756344e+00       8.940396943349e-08       1.553999519561e-03      -2.250888178675e-07 
   28       1.255763260851e+03       1.410227383963e-02       0.000000000000e+00       1.507394381216e+00       8.912816788488e-08       1.502362082383e-03      -3.184745519807e-07 
   29       1.281573381638e+03       1.593525097379e-02       0.000000000000e+00       1.525752060917e+00       8.882249486924e-08       1.454599969161e-03      -3.945222536169e-07 
   30       1.308022746732e+03       1.793027497810e-02       0.000000000000e+00       1.536137425016e+00       8.850174123859e-08       1.409987218949e-03      -4.276578799350e-07 
   31       1.334926384327e+03       2.009247936693e-02       0.000000000000e+00       1.537200047328e+00       8.810857570709e-08       1.366692593803e-03      -3.951893637483e-07 
   32       1.362319606471e+03       2.242713267337e-02       0.000000000000e+00       1.528513340977e+00       8.767488539181e-08       1.324950091405e-03      -3.176352657706e-07 
   33       1.390243560980e+03       2.493918576242e-02       0.000000000000e+00       1.510006013485e+00       8.722122231658e-08       1.285123438179e-03      -2.415293557266e-07 
   34       1.418678595625e+03       2.763341913507e-02       0.000000000000e+00       1.481802030437e+00       8.672228875188e-08       1.247029682343e-03      -2.177027964779e-07 
   35       1.447626424086e+03       3.051564056491e-02       0.000000000000e+00       1.444454951132e+00       8.620050034622e-08       1.210884752714e-03      -2.462984075631e-07 
   36       1.477041911221e+03       3.359187461502e-02       0.000000000000e+00       1.398819491042e+00       8.566057898019e-08       1.176582724655e-03      -3.051627748709e-07 
   37       1.506841519223e+03       3.686818283016e-02       0.000000000000e+00       1.345642369954e+00       8.507497310508e-08       1.143631138846e-03      -3.682929983083e-07 
   38       1.537034250321e+03       4.035116369717e-02       0.000000000000e+00       1.284316008258e+00       8.447024369282e-08       1.112219977785e-03      -4.295163845588e-07 
   39       1.567623908487e+03       4.404761446518e-02       0.000000000000e+00       1.213705546366e+00       8.387122158218e-08       1.082488885199e-03      -4.887869107229e-07 
   40       1.598567911083e+03       4.796440022732e-02       0.000000000000e+00       1.132463157413e+00       8.326880778529e-08       1.054168273662e-03      -5.463678290480e-07 
   41       1.629803786597e+03       5.210779753657e-02       0.000000000000e+00       1.039314881596e+00       8.263054133863e-08       1.026753514044e-03      -6.032056754387e-07 
   42       1.661350564891e+03       5.648126355482e-02       0.000000000000e+00       9.340695980893e-01       8.197178126165e-08       1.000337529509e-03      -6.621297188053e-07 
   43       1.693232325043e+03       6.108694398666e-02       0.000000000000e+00       8.169131833659e-01       8.130987412383e-08       9.750414779425e-04      -7.273234024839e-07 
   44       1.725447159062e+03       6.592622623443e-02       0.000000000000e+00       6.881405838490e-01       8.063979874732e-08       9.507536135328e-04      -8.041871753248e-07 
   45       1.757978759136e+03       7.100066814494e-02       0.000000000000e+00       5.479908876576e-01       7.994253225920e-08       9.272365241087e-04      -8.974858937853e-07 
   46       1.790841544790e+03       7.631521712941e-02       0.000000000000e+00       3.960803091976e-01       7.923429081314e-08       9.046131743808e-04      -1.004436039931e-06 
   47       1.824044526636e+03       8.187587996648e-02       0.000000000000e+00       2.318093857312e-01       7.853403552785e-08       8.830225608135e-04      -1.118805110386e-06 
   48       1.857576466173e+03       8.768884687008e-02       0.000000000000e+00       5.451487004637e-02       7.784703422199e-08       8.624657575438e-04      -1.232455191736e-06 
   49       1.891404049832e+03       9.376050427470e-02       0.000000000000e+00      -1.365343959256e-01       7.716076631924e-08       8.427819068612e-04      -1.335134164285e-06 
   50       1.925486890093e+03       1.000965507902e-01       0.000000000000e+00      -3.419651626656e-01       7.645300738694e-08       8.237335211747e-04      -1.416848145138e-06 
   51       1.959831565368e+03       1.066990325095e-01       0.000000000000e+00      -5.617181026280e-01       7.573294271461e-08       8.053652325516e-04      -1.476660718823e-06 
   52       1.994449092366e+03       1.135685250688e-01       0.000000000000e+00      -7.954787255176e-01       7.501389261083e-08       7.877453821346e-04      -1.517052887056e-06 
   53       2.029338371506e+03       1.207049314236e-01       0.000000000000e+00      -1.042835945789e+00       7.430043325279e-08       7.708553712399e-04      -1.541765108376e-06 
   54       2.064485152837e+03       1.281074524299e-01       0.000000000000e+00      -1.303277905743e+00       7.358603456427e-08       7.545763198947e-04      -1.555939334027e-06 
   55       2.099871364223e+03       1.357749250246e-01       0.000000000000e+00      -1.576347698517e+00       7.285860368381e-08       7.387495134696e-04      -1.564998712136e-06 
   56       2.135508178586e+03       1.437070025414e-01       0.000000000000e+00      -1.862165407212e+00       7.212688512867e-08       7.234178035556e-04      -1.570438572969e-06 
   57       2.171409349992e+03       1.519032160820e-01       0.000000000000e+00      -2.161028435315e+00       7.140228190260e-08       7.086485163428e-04      -1.572744811561e-06 
   58       2.207580954434e+03       1.603626178388e-01       0.000000000000e+00      -2.473264977355e+00       7.069052351999e-08       6.944600066010e-04      -1.572541089813e-06 
   59       2.244020759467e+03       1.690837659990e-01       0.000000000000e+00      -2.799236071865e+00       6.999023636687e-08       6.808145551352e-04      -1.570600582356e-06 
   60       2.280717593850e+03       1.780647096478e-01       0.000000000000e+00      -3.139337654346e+00       6.929138460767e-08       6.676109626590e-04      -1.567858103683e-06 
   61       2.317657565124e+03       1.873033140606e-01       0.000000000000e+00      -3.493904633675e+00       6.858054010206e-08       6.547294173576e-04      -1.565252372781e-06 
   62       2.354845769289e+03       1.967983560534e-01       0.000000000000e+00      -3.862893316658e+00       6.786365237182e-08       6.422020681951e-04      -1.563160644253e-06 
   63       2.392288357681e+03       2.065486488256e-01       0.000000000000e+00      -4.246131018870e+00       6.715029849912e-08       6.300857609113e-04      -1.561797126820e-06 
   64       2.429985714124e+03       2.165527190559e-01       0.000000000000e+00      -4.643406716185e+00       6.644687434540e-08       6.184109727393e-04      -1.561364070709e-06 
   65       2.467932041843e+03       2.268088026058e-01       0.000000000000e+00      -5.054469989022e+00       6.575582398834e-08       6.071782187642e-04      -1.562048541440e-06 
   66       2.506114950380e+03       2.373148402239e-01       0.000000000000e+00      -5.479029966581e+00       6.507480496520e-08       5.963543174610e-04      -1.564019047864e-06 
   67       2.544515042512e+03       2.480684732492e-01       0.000000000000e+00      -5.916754271084e+00       6.439578728914e-08       5.858685154087e-04      -1.567422024453e-06 
   68       2.583113248625e+03       2.590668532280e-01       0.000000000000e+00      -6.367323064069e+00       6.370898476822e-08       5.756417897090e-04      -1.572348086800e-06 
   69       2.621915478942e+03       2.703060355704e-01       0.000000000000e+00      -6.830606261983e+00       6.301885721824e-08       5.656944921583e-04      -1.578727284750e-06 
   70       2.660932247352e+03       2.817814547500e-01       0.000000000000e+00      -7.306520497509e+00       6.233274039620e-08       5.560639928028e-04      -1.586395621375e-06 
   71       2.700171154843e+03       2.934880906276e-01       0.000000000000e+00      -7.794977541843e+00       6.165610363041e-08       5.467723881392e-04      -1.595116099077e-06 
   72       2.739636674556e+03       3.054204593959e-01       0.000000000000e+00      -8.295884658192e+00       6.099212936242e-08       5.378246274789e-04      -1.604572030298e-06 
   73       2.779329936852e+03       3.175726045235e-01       0.000000000000e+00      -8.809144955279e+00       6.034126090256e-08       5.292065731327e-04      -1.614360135094e-06 
   74       2.819248514365e+03       3.299380876999e-01       0.000000000000e+00      -9.334657740837e+00       5.970071748774e-08       5.208829944148e-04      -1.623983425571e-06 
   75       2.859386207070e+03       3.425099797800e-01       0.000000000000e+00      -9.872318875113e+00       5.906397573010e-08       5.127954954664e-04      -1.632843877192e-06 
   76       2.899736611974e+03       3.552810990232e-01       0.000000000000e+00      -1.042199997967e+01       5.842360716994e-08       5.048826732631e-04      -1.640390089479e-06 
   77       2.940305058833e+03       3.682447959847e-01       0.000000000000e+00      -1.098348090531e+01       5.778230806183e-08       4.971518892500e-04      -1.646624471021e-06 
   78       2.981098470585e+03       3.813942959661e-01       0.000000000000e+00      -1.155650553437e+01       5.714482655816e-08       4.896231372251e-04      -1.651720348114e-06 
   79       3.022121636690e+03       3.947224604979e-01       0.000000000000e+00      -1.214080175411e+01       5.651469020875e-08       4.823075210675e-04      -1.655880236244e-06 
   80       3.063377075803e+03       4.082217833554e-01       0.000000000000e+00      -1.273608137669e+01       5.589396752073e-08       4.752062950237e-04      -1.659337492814e-06 
   81       3.104864898436e+03       4.218843865736e-01       0.000000000000e+00      -1.334204005898e+01       5.528301346702e-08       4.683098736724e-04      -1.662358006348e-06 
   82       3.146582669630e+03       4.357020164635e-01       0.000000000000e+00      -1.395835722258e+01       5.468019853119e-08       4.615968115703e-04      -1.665241922177e-06 
   83       3.188525271622e+03       4.496660396269e-01       0.000000000000e+00      -1.458469597364e+01       5.408162087628e-08       4.550327525765e-04      -1.668325404614e-06 
   84       3.230687232035e+03       4.637675371843e-01       0.000000000000e+00      -1.522071215055e+01       5.348294022955e-08       4.485831133224e-04      -1.671916552832e-06 
   85       3.273070452745e+03       4.779976141334e-01       0.000000000000e+00      -1.586608336570e+01       5.288629663435e-08       4.422572213150e-04      -1.676080652444e-06 
   86       3.315677516463e+03       4.923471342082e-01       0.000000000000e+00      -1.652048465372e+01       5.229509486369e-08       4.360731189439e-04      -1.680805046193e-06 
   87       3.358509240650e+03       5.068066239284e-01       0.000000000000e+00      -1.718357984414e+01       5.171192744232e-08       4.300442919460e-04      -1.686058955939e-06 
   88       3.401564581622e+03       5.213662702647e-01       0.000000000000e+00      -1.785502163462e+01       5.113843280933e-08       4.241791939997e-04      -1.691791948107e-06 
   89       3.444840538651e+03       5.360159183054e-01       0.000000000000e+00      -1.853445166431e+01       5.057514485578e-08       4.184807574254e-04      -1.697932356997e-06 
