# Matter power spectrum P(k) at redshift z=0
# for k=7.75386e-06 to 1.63211 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       7.753863804827e-06       1.365669850237e+02 
       1.856717941020e-05       2.871849641177e+02 
       2.940539212795e-05       4.526025718417e+02 
       4.028903453577e-05       6.163595916552e+02 
       5.123886720149e-05       7.772227717138e+02 
       6.227600928128e-05       9.395334050917e+02 
       7.342207198469e-05       1.099545122060e+03 
       8.469929618955e-05       1.261379436465e+03 
       9.613069549933e-05       1.424376158946e+03 
       1.077402060497e-04       1.588756582127e+03 
       1.195528443845e-04       1.755943367294e+03 
       1.315948747309e-04       1.925043080013e+03 
       1.438939870015e-04       2.097090738255e+03 
       1.564794868327e-04       2.272361761167e+03 
       1.693824989129e-04       2.451351940267e+03 
       1.826361847652e-04       2.634390992221e+03 
       1.962759759862e-04       2.821951114043e+03 
       2.103398237027e-04       3.014616272169e+03 
       2.248684646451e-04       3.212886348246e+03 
       2.399057037287e-04       3.417123223004e+03 
       2.554987123222e-04       3.627988122371e+03 
       2.716983404247e-04       3.846050153942e+03 
       2.885594396973e-04       4.072003228608e+03 
       3.061411926364e-04       4.306462590122e+03 
       3.245074410566e-04       4.550142819794e+03 
       3.437270043903e-04       4.803806614295e+03 
       3.638739750607e-04       5.068322980579e+03 
       3.850279742860e-04       5.344422221643e+03 
       4.072743471635e-04       5.633044614102e+03 
       4.307042708504e-04       5.935087378928e+03 
       4.554147443325e-04       6.251507678001e+03 
       4.815084230721e-04       6.583277588131e+03 
       5.090932573759e-04       6.931382379921e+03 
       5.382818905460e-04       7.296786594086e+03 
       5.691907729658e-04       7.680469153512e+03 
       6.019389526475e-04       8.083359189480e+03 
       6.366465129622e-04       8.506274091246e+03 
       6.734326456057e-04       8.950002070627e+03 
       7.124133720730e-04       9.415144993550e+03 
       7.536989596679e-04       9.902221233772e+03 
       7.973911163748e-04       1.041137751311e+04 
       8.435800888618e-04       1.094271898285e+04 
       8.923418236702e-04       1.149601750828e+04 
       9.437353762849e-04       1.207072039658e+04 
       9.978007594598e-04       1.266603080278e+04 
       1.054557406006e-03       1.328086818613e+04 
       1.114003381099e-03       1.391386214469e+04 
       1.176115418656e-03       1.456322518854e+04 
       1.240849783726e-03       1.522734625295e+04 
       1.308143889286e-03       1.590406162664e+04 
       1.377918532921e-03       1.659123334953e+04 
       1.450080575706e-03       1.728667403819e+04 
       1.524525866798e-03       1.798815009272e+04 
       1.601142222593e-03       1.869346202417e+04 
       1.679812294082e-03       1.940029783129e+04 
       1.760416193363e-03       2.010678917923e+04 
       1.842833792545e-03       2.081084615168e+04 
       1.926946649085e-03       2.151085954719e+04 
       2.012639546557e-03       2.220502144614e+04 
       2.099801666549e-03       2.289191220981e+04 
       2.188327425522e-03       2.357014886570e+04 
       2.278117020721e-03       2.423866460064e+04 
       2.369076733192e-03       2.489631215951e+04 
       2.461119035384e-03       2.554226587156e+04 
       2.554162547145e-03       2.617585679947e+04 
       2.648131878701e-03       2.679627787210e+04 
       2.742957393245e-03       2.740309214208e+04 
       2.838574915854e-03       2.799597820097e+04 
       2.934925409984e-03       2.857446579659e+04 
       3.031954637928e-03       2.913834380407e+04 
       3.129612817583e-03       2.968753383781e+04 
       3.227854284459e-03       3.022175293855e+04 
       3.326637165201e-03       3.074105206564e+04 
       3.425923066781e-03       3.124550025509e+04 
       3.525676783882e-03       3.173479344543e+04 
       3.625866025818e-03       3.220940034454e+04 
       3.726461163419e-03       3.266911293855e+04 
       3.827434995688e-03       3.311429955589e+04 
       3.928762535625e-03       3.354507541618e+04 
       4.030420814284e-03       3.396141962897e+04 
       4.132388702005e-03       3.436365063061e+04 
       4.234646745641e-03       3.475227644819e+04 
       4.337177020579e-03       3.512688178552e+04 
       4.439962996367e-03       3.548802653847e+04 
       4.542989414797e-03       3.583592225067e+04 
       4.646242179336e-03       3.617081414278e+04 
       4.749708254895e-03       3.649282558002e+04 
       4.853375576958e-03       3.680217260432e+04 
       4.957232969200e-03       3.709916871598e+04 
       5.061270068787e-03       3.738425205530e+04 
       5.165477258606e-03       3.765723963180e+04 
       5.269845605765e-03       3.791884386010e+04 
       5.374366805750e-03       3.816875462608e+04 
