# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       1.000000000000e+14       7.558503632244e-26       4.634785000235e-09       2.157545946642e+22       1.515460971389e+04       1.515460971389e-10       1.515460971389e+18       2.675958164822e-09       2.751560535470e+44       1.335180067264e+34       5.069511817894e+28       3.733861180667e-08       1.903443976270e+44       4.655004511873e+44       6.784282380361e-20       2.000000000000e+14 
       9.930486593843e+13       7.664693049773e-26       4.667526809499e-09       2.127654528176e+22       1.515460971389e+04       1.526069198189e-10       1.504926485987e+18       2.694689871975e-09       2.675846458098e+44       1.307529296744e+34       4.964525298573e+28       3.733861180667e-08       1.851067333040e+44       4.526913791269e+44       9.464906672852e-08       1.433565615564e+02 
       9.861456399050e+13       7.772374322430e-26       4.700268618762e-09       2.098177236185e+22       1.515460971389e+04       1.536751682576e-10       1.494465229381e+18       2.713552701079e-09       2.602215788102e+44       1.280451156933e+34       4.861712986481e+28       3.733861180667e-08       1.800131926217e+44       4.402347714447e+44       1.892981334570e-07       7.167828077820e+01 
       9.792906056653e+13       7.881568409286e-26       4.733010428026e-09       2.069108333212e+22       1.515460971389e+04       1.547508944354e-10       1.484076692534e+18       2.732547569986e-09       2.530611196824e+44       1.253933788998e+34       4.761029855101e+28       3.733861180667e-08       1.750598097619e+44       4.281209294569e+44       2.839472001854e-07       4.778552051881e+01 
       9.724832231036e+13       7.992296563868e-26       4.765752237290e-09       2.040442161289e+22       1.515460971389e+04       1.558341506964e-10       1.473760369944e+18       2.751675402975e-09       2.460976933110e+44       1.227965579692e+34       4.662431810393e+28       3.733861180667e-08       1.702427280332e+44       4.163404213564e+44       3.785962669138e-07       3.583914038910e+01 
       9.657231609767e+13       8.104580338293e-26       4.800313035958e-09       2.012173140833e+22       1.515460971389e+04       1.569249897513e-10       1.463515759627e+18       2.770937130796e-09       2.393258779894e+44       1.202535156273e+34       4.565875671473e+28       3.733861180667e-08       1.655581968676e+44       4.048840748691e+44       4.732453336423e-07       2.867131231128e+01 
       9.590100903443e+13       8.218441587466e-26       4.833054845221e-09       1.984295769567e+22       1.515460971389e+04       1.580234646796e-10       1.453342363085e+18       2.790333690711e-09       2.327404011992e+44       1.177631381520e+34       4.471319151709e+28       3.733861180667e-08       1.610025689010e+44       3.937429701121e+44       5.678944003707e-07       2.389276025940e+01 
       9.523436845525e+13       8.333902473328e-26       4.867615643889e-09       1.956804621440e+22       1.515460971389e+04       1.591296289323e-10       1.443239685288e+18       2.809866026546e-09       2.263361355047e+44       1.153243348859e+34       4.378720840200e+28       3.733861180667e-08       1.565722971329e+44       3.829084326490e+44       6.625434670991e-07       2.047950879377e+01 
       9.457236192179e+13       8.450985469176e-26       4.900357453153e-09       1.929694345580e+22       1.515460971389e+04       1.602435363349e-10       1.433207234645e+18       2.829535088731e-09       2.201080945604e+44       1.129360377584e+34       4.288040183639e+28       3.733861180667e-08       1.522639321645e+44       3.723720267362e+44       7.571925338275e-07       1.791957019455e+01 
       9.391495722125e+13       8.569713364032e-26       4.934918251820e-09       1.902959665243e+22       1.515460971389e+04       1.613652410892e-10       1.423244522985e+18       2.849341834352e-09       2.140514292293e+44       1.105972008179e+34       4.199237468553e+28       3.733861180667e-08       1.480741195137e+44       3.621255487541e+44       8.518416005559e-07       1.592850683960e+01 
