# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.134758817438e+03       1.128822790132e-01       0.000000000000e+00       6.710563957769e+00       4.773234003925e-08       3.601733983046e-03      -1.620175446668e-05 
    3       1.039481824064e+03       3.512774712775e-02       0.000000000000e+00       4.188824530412e+00       5.848967831165e-08       3.497686230165e-03      -3.467239851810e-06 
    4       9.722181749163e+02       9.227473860794e-03       0.000000000000e+00       2.249578374422e+00       6.712731211053e-08       3.334152625706e-03       2.063164635770e-06 
    5       9.313450491438e+02       3.113049640872e-03       0.000000000000e+00       1.236946297181e+00       7.445197721133e-08       3.163134691032e-03       2.877982372196e-06 
    6       9.077612819584e+02       1.409682089564e-03       0.000000000000e+00       7.471425163085e-01       8.074416090311e-08       2.997168399582e-03       2.215665966740e-06 
    7       8.948776885334e+02       7.788417601065e-04       0.000000000000e+00       5.324099638703e-01       8.614474990599e-08       2.839816824393e-03       1.550352282998e-06 
    8       8.892231000030e+02       5.298244785443e-04       0.000000000000e+00       4.612540919106e-01       9.079615531223e-08       2.692616984259e-03       1.151985720999e-06 
    9       8.897077046358e+02       4.549491745840e-04       0.000000000000e+00       4.620446802818e-01       9.485592614799e-08       2.555720385121e-03       9.243724985358e-07 
   10       8.943856322267e+02       4.795723749548e-04       0.000000000000e+00       4.961754121391e-01       9.842651168421e-08       2.428374755571e-03       7.667377220713e-07 
   11       9.030415219379e+02       5.771394581491e-04       0.000000000000e+00       5.474558401909e-01       1.009280966074e-07       2.334508643367e-03       6.402721580504e-07 
   12       9.149372313164e+02       7.355400919918e-04       0.000000000000e+00       6.072130897038e-01       1.036689118682e-07       2.222708043726e-03       5.143613584220e-07 
   13       9.291424619176e+02       9.519861008088e-04       0.000000000000e+00       6.700278687340e-01       1.060358971688e-07       2.112083595848e-03       3.877320708891e-07 
   14       9.458843442594e+02       1.229115886169e-03       0.000000000000e+00       7.358191109536e-01       1.080730170160e-07       2.015163331293e-03       2.682982619289e-07 
   15       9.649652816900e+02       1.569854265229e-03       0.000000000000e+00       8.035943431590e-01       1.098175674592e-07       1.920503165302e-03       1.385377685017e-07 
   16       9.856913867685e+02       1.980198508132e-03       0.000000000000e+00       8.717319150454e-01       1.112988092702e-07       1.832112553147e-03       4.331339092757e-09 
   17       1.008139627899e+03       2.467733481140e-03       0.000000000000e+00       9.403983541948e-01       1.125444961578e-07       1.749650455915e-03      -1.281091611582e-07 
   18       1.031956489040e+03       3.039445624987e-03       0.000000000000e+00       1.009294954045e+00       1.135334056527e-07       1.672085093892e-03      -2.540091955588e-07 
   19       1.057338608927e+03       3.701452365626e-03       0.000000000000e+00       1.077929745572e+00       1.144204719809e-07       1.601518342915e-03      -3.675502879989e-07 
   20       1.084258750296e+03       4.459503018350e-03       0.000000000000e+00       1.145670959939e+00       1.150815213736e-07       1.535766660598e-03      -4.647251642258e-07 
   21       1.112530515548e+03       5.320804344976e-03       0.000000000000e+00       1.211548168751e+00       1.155996548020e-07       1.473349844635e-03      -5.431173337248e-07 
   22       1.141706240402e+03       6.292979170525e-03       0.000000000000e+00       1.274338847821e+00       1.159512614524e-07       1.410766682650e-03      -6.033264346214e-07 
   23       1.171958005784e+03       7.383139315571e-03       0.000000000000e+00       1.332871600650e+00       1.162024177549e-07       1.350562060677e-03      -6.480472116505e-07 
   24       1.203464348543e+03       8.598600315440e-03       0.000000000000e+00       1.385989793583e+00       1.163101527364e-07       1.295899923892e-03      -6.826862026319e-07 
   25       1.236126596725e+03       9.948827989671e-03       0.000000000000e+00       1.433005919684e+00       1.163257524567e-07       1.245978195924e-03      -7.109301546685e-07 
   26       1.269660078744e+03       1.144407911939e-02       0.000000000000e+00       1.473391267643e+00       1.162300317486e-07       1.197366693547e-03      -7.363558862625e-07 
   27       1.304096261427e+03       1.309351586671e-02       0.000000000000e+00       1.506564710190e+00       1.160487662014e-07       1.150410135558e-03      -7.592126718003e-07 
   28       1.339485377556e+03       1.490590416671e-02       0.000000000000e+00       1.531997765842e+00       1.157498258430e-07       1.106065622841e-03      -7.789780002734e-07 
   29       1.375880387367e+03       1.688949954992e-02       0.000000000000e+00       1.549423227746e+00       1.154006741240e-07       1.064847178559e-03      -7.975700707417e-07 
   30       1.413235397720e+03       1.905227785716e-02       0.000000000000e+00       1.558737636309e+00       1.150204152439e-07       1.026144239577e-03      -8.184941722159e-07 
   31       1.451424641312e+03       2.140217561297e-02       0.000000000000e+00       1.559818263623e+00       1.145362975445e-07       9.885011353193e-04      -8.452209773776e-07 
   32       1.490477938414e+03       2.394763464212e-02       0.000000000000e+00       1.552011429767e+00       1.139894501766e-07       9.522730817103e-04      -8.763769267292e-07 
   33       1.530413430654e+03       2.669723121372e-02       0.000000000000e+00       1.534445618901e+00       1.134064616576e-07       9.180378286144e-04      -9.078652606095e-07 
   34       1.571189277644e+03       2.965956896135e-02       0.000000000000e+00       1.506267595193e+00       1.127553234266e-07       8.859252487422e-04      -9.351883929252e-07 
   35       1.612782556227e+03       3.284344453364e-02       0.000000000000e+00       1.467029701469e+00       1.120651702853e-07       8.559424463553e-04      -9.588400364686e-07 
   36       1.655123820149e+03       3.625772237369e-02       0.000000000000e+00       1.416439308283e+00       1.113424476255e-07       8.276100717426e-04      -9.814992682599e-07 
   37       1.698117314985e+03       3.991111428997e-02       0.000000000000e+00       1.354219194579e+00       1.105522324255e-07       8.001082262359e-04      -1.006075422626e-06 
   38       1.741808137842e+03       4.381160369481e-02       0.000000000000e+00       1.279966403956e+00       1.097290747646e-07       7.735340718176e-04      -1.032903851853e-06 
   39       1.786261838309e+03       4.796680013055e-02       0.000000000000e+00       1.193248811119e+00       1.089052476115e-07       7.480948158156e-04      -1.061290988799e-06 
   40       1.831515129065e+03       5.238406374734e-02       0.000000000000e+00       1.093642905592e+00       1.080693349751e-07       7.237318675872e-04      -1.090138130337e-06 
   41       1.877577081445e+03       5.707099391910e-02       0.000000000000e+00       9.807270802783e-01       1.071798345216e-07       7.002241842515e-04      -1.118203372042e-06 
   42       1.924441726280e+03       6.203714172776e-02       0.000000000000e+00       8.540588904197e-01       1.062569112413e-07       6.777002226421e-04      -1.145203090062e-06 
   43       1.972073571352e+03       6.729281620643e-02       0.000000000000e+00       7.131903770019e-01       1.053232662569e-07       6.562787863505e-04      -1.171134580320e-06 
   44       2.020400035161e+03       7.284863275333e-02       0.000000000000e+00       5.576736695872e-01       1.043726925231e-07       6.359009456994e-04      -1.195993154639e-06 
   45       2.069342803848e+03       7.871461285686e-02       0.000000000000e+00       3.870778526278e-01       1.033808908134e-07       6.164051210836e-04      -1.219778359685e-06 
   46       2.118930691380e+03       8.489713426831e-02       0.000000000000e+00       2.010466743691e-01       1.023691887354e-07       5.978744359537e-04      -1.242522689138e-06 
   47       2.169215026483e+03       9.140108929814e-02       0.000000000000e+00      -7.427012515255e-04       1.013624647687e-07       5.803868671678e-04      -1.264270718979e-06 
   48       2.220236789801e+03       9.823067826116e-02       0.000000000000e+00      -2.185950098395e-01       1.003678510847e-07       5.639021851052e-04      -1.285069506151e-06 
   49       2.272025376194e+03       1.053893688461e-01       0.000000000000e+00      -4.527963539146e-01       9.936940961936e-08       5.482422194396e-04      -1.304966647860e-06 
   50       2.324594932352e+03       1.128804524361e-01       0.000000000000e+00      -7.036232088546e-01       9.833861289453e-08       5.331669291555e-04      -1.324070982850e-06 
   51       2.377935069142e+03       1.207089853564e-01       0.000000000000e+00      -9.713735583252e-01       9.728768716508e-08       5.186900075108e-04      -1.342769177887e-06 
   52       2.432015488791e+03       1.288803043241e-01       0.000000000000e+00      -1.256343289530e+00       9.623420184935e-08       5.048541345319e-04      -1.361592258599e-06 
   53       2.486786869496e+03       1.373994633098e-01       0.000000000000e+00      -1.558817311525e+00       9.518433922500e-08       4.916357038239e-04      -1.381166625262e-06 
   54       2.542179513625e+03       1.462712209995e-01       0.000000000000e+00      -1.879069471469e+00       9.412981089708e-08       4.789348419208e-04      -1.402220891236e-06 
   55       2.598126854313e+03       1.555001049000e-01       0.000000000000e+00      -2.217362382035e+00       9.305508056960e-08       4.666242557063e-04      -1.425393289931e-06 
   56       2.654645910419e+03       1.650906510305e-01       0.000000000000e+00      -2.573947045330e+00       9.197177801107e-08       4.547422979420e-04      -1.450552129462e-06 
   57       2.711774450515e+03       1.750472018128e-01       0.000000000000e+00      -2.949062988848e+00       9.089499278656e-08       4.433526114799e-04      -1.477237577396e-06 
   58       2.769547510649e+03       1.853738252999e-01       0.000000000000e+00      -3.342938260796e+00       8.983240521456e-08       4.324863920207e-04      -1.504823907996e-06 
   59       2.827997011053e+03       1.960743056233e-01       0.000000000000e+00      -3.755789342882e+00       8.878241555023e-08       4.221375470685e-04      -1.532502291492e-06 
   60       2.887151372843e+03       2.071521334402e-01       0.000000000000e+00      -4.187821063096e+00       8.773210372379e-08       4.122576466775e-04      -1.559262935758e-06 
   61       2.947032598300e+03       2.186104791743e-01       0.000000000000e+00      -4.639218962690e+00       8.666411485917e-08       4.027824315109e-04      -1.584112585116e-06 
   62       3.007647612991e+03       2.304521273292e-01       0.000000000000e+00      -5.110124592317e+00       8.558641841251e-08       3.937342435339e-04      -1.606856992322e-06 
   63       3.068994291291e+03       2.426795104126e-01       0.000000000000e+00      -5.600654490844e+00       8.451171843556e-08       3.851444880503e-04      -1.627547196881e-06 
   64       3.131063366729e+03       2.552947149439e-01       0.000000000000e+00      -6.110906921685e+00       8.344855054263e-08       3.770221077977e-04      -1.646268553292e-06 
