# Matter power spectrum P(k) at redshift z=0
# for k=9.77578e-06 to 1.80917 h/Mpc,
# number of wavenumbers equal to 517
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.775781161314e-06       5.203791322402e+01 
       2.597253013860e-05       1.630637454775e+02 
       4.224506056911e-05       2.604293175128e+02 
       5.866262757844e-05       3.574197551052e+02 
       7.529609248481e-05       4.545510650146e+02 
       9.221891950955e-05       5.523878708973e+02 
       1.095082176319e-04       6.516553253712e+02 
       1.272458487249e-04       7.527545677687e+02 
       1.455196231146e-04       8.563300725116e+02 
       1.644246035015e-04       9.629087460743e+02 
       1.840645373889e-04       1.073070528186e+03 
       2.045534362120e-04       1.187363038829e+03 
       2.260173154420e-04       1.306680128821e+03 
       2.485961028840e-04       1.431562864782e+03 
       2.724457105867e-04       1.562852970355e+03 
       2.977402470742e-04       1.701442685674e+03 
       3.246743182145e-04       1.848321145171e+03 
       3.534653236607e-04       2.004590547920e+03 
       3.843555979429e-04       2.171404281338e+03 
       4.176141681057e-04       2.350074071560e+03 
       4.535378027881e-04       2.542006950794e+03 
       4.924509154474e-04       2.748711825542e+03 
       5.347037709589e-04       2.971778742795e+03 
       5.806683581572e-04       3.212618600464e+03 
       6.307312771320e-04       3.472490254341e+03 
       6.852831120314e-04       3.753430050523e+03 
       7.447040846309e-04       4.056837382663e+03 
       8.093463524240e-04       4.383849345385e+03 
       8.795140982916e-04       4.735268147798e+03 
       9.554434136358e-04       5.111412387648e+03 
       1.037284639847e-03       5.512096037144e+03 
       1.125089990529e-03       5.936524951958e+03 
       1.218808712297e-03       6.383393121090e+03 
       1.318290791383e-03       6.850848029418e+03 
       1.423298615328e-03       7.336629682599e+03 
       1.533524567277e-03       7.838186191072e+03 
       1.648611707673e-03       8.352821215902e+03 
       1.768174652003e-03       8.877780744922e+03 
       1.891818342425e-03       9.410385592787e+03 
       2.019153313918e-03       9.948134702114e+03 
       2.149806949837e-03       1.048863690791e+04 
       2.283430902070e-03       1.102981715808e+04 
       2.419705252520e-03       1.156981805099e+04 
       2.558340149477e-03       1.210695477929e+04 
       2.699075641304e-03       1.263987650069e+04 
       2.841680328094e-03       1.316737043566e+04 
       2.985949317533e-03       1.368834379595e+04 
       3.131701839485e-03       1.420202878719e+04 
       3.278778761743e-03       1.470765173750e+04 
       3.427040162086e-03       1.520465896657e+04 
       3.576363048052e-03       1.569258848809e+04 
       3.726639271640e-03       1.617106828871e+04 
       3.877773657005e-03       1.663964626092e+04 
       4.029682340973e-03       1.709825896027e+04 
       4.182291315529e-03       1.754667991463e+04 
       4.335535155842e-03       1.798471127963e+04 
       4.489355915027e-03       1.841218784379e+04 
       4.643702166521e-03       1.882918459280e+04 
       4.798528175755e-03       1.923580400346e+04 
       4.953793184242e-03       1.963183137289e+04 
       5.109460790908e-03       2.001737677611e+04 
       5.265498417226e-03       2.039240914517e+04 
       5.421876844454e-03       2.075714013338e+04 
       5.578569812781e-03       2.111146457824e+04 
       5.735553673634e-03       2.145554654967e+04 
       5.892807087635e-03       2.178947117618e+04 
       6.050310761758e-03       2.211326028040e+04 
       6.208047220197e-03       2.242712351968e+04 
       6.366000604249e-03       2.273106734751e+04 
       6.524156497201e-03       2.302526176938e+04 
       6.682501770796e-03       2.330970671423e+04 
       6.841024450364e-03       2.358465291287e+04 
       6.999713596108e-03       2.385005162054e+04 
       7.158559198415e-03       2.410503764234e+04 
       7.317552085344e-03       2.435191436733e+04 
       7.476683840730e-03       2.458964322094e+04 
       7.635946731540e-03       2.481842330697e+04 
       7.795333643323e-03       2.503852347928e+04 
       7.954838022739e-03       2.524970245341e+04 
       8.114453826313e-03       2.545221799041e+04 
       8.274175474635e-03       2.564626581901e+04 
       8.433997811392e-03       2.583181381504e+04 
       8.593916066622e-03       2.600905597906e+04 
       8.753925823735e-03       2.617808596938e+04 
       8.914022989845e-03       2.633921554986e+04 
       9.074203769049e-03       2.649218438923e+04 
       9.234464638324e-03       2.663727426596e+04 
       9.394802325744e-03       2.677455085537e+04 
       9.555213790786e-03       2.690411051716e+04 
