# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=9.77578e-06 to 1.80917 h/Mpc,
# number of wavenumbers equal to 517
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       9.775781161314e-06       3.766535368322e+10       3.766535368320e+10       5.022045697260e+10       5.022045651891e+10       0.000000000000e+00       3.766972938295e+10 
       2.597253013860e-05       5.355546835032e+09       5.355546834221e+09       7.140618128583e+09       7.140614766423e+09       0.000000000000e+00       5.356168966109e+09 
       4.224506056911e-05       2.038344233050e+09       2.038344230900e+09       2.717498515136e+09       2.717489633540e+09       0.000000000000e+00       2.038580928227e+09 
       5.866262757844e-05       1.067937132202e+09       1.067937128060e+09       1.423351606438e+09       1.423334572702e+09       0.000000000000e+00       1.068060994551e+09 
       7.529609248481e-05       6.570880904571e+08       6.570880836535e+08       8.751922794637e+08       8.751644362327e+08       0.000000000000e+00       6.571640932768e+08 
       9.221891950955e-05       4.455731018251e+08       4.455730916786e+08       5.927196503633e+08       5.926783150867e+08       0.000000000000e+00       4.456243692504e+08 
       1.095082176319e-04       3.225438337084e+08       3.225438194981e+08       4.281324702741e+08       4.280749153214e+08       0.000000000000e+00       3.225806110123e+08 
       1.272458487249e-04       2.447367488812e+08       2.447367298541e+08       3.237429252851e+08       3.236664006810e+08       0.000000000000e+00       2.447642541577e+08 
       1.455196231146e-04       1.924370922264e+08       1.924370675859e+08       2.532602166118e+08       2.531619404247e+08       0.000000000000e+00       1.924582516413e+08 
       1.644246035015e-04       1.556154110144e+08       1.556153799180e+08       2.033075294220e+08       2.031847172019e+08       0.000000000000e+00       1.556319840658e+08 
